profile	rank	gene	specificity_log	expression_log
endoderm	1	BLAG19000850	4.09921348781032	7.023964512761216
endoderm	2	BLAG19000849	4.047155484217674	6.545212469354428
endoderm	3	BLAG19000848	4.035105627726998	5.184577184356329
endoderm	4	BLAG19200001	4.031335828910994	5.422402333783555
endoderm	5	BLAG19000841	3.905451071153433	7.1652066557283565
endoderm	6	BLAG11000553	3.9025432737523174	6.179824020411853
endoderm	7	BLAG07000355	3.8484131730740394	6.693676137553242
endoderm	8	BLAG18000233	3.740923898422898	6.570398696414951
endoderm	9	BLAG19000098	3.667908960079684	4.145105588292605
endoderm	10	BLAG19000847	3.634806295965719	6.174295344371394
endoderm	11	BLAG13000146	3.6210568275924127	4.717929301205232
endoderm	12	BLAG12000705	3.610912841525317	4.93450749755973
endoderm	13	BLAG13000141	3.5110867548556337	4.697908896827161
endoderm	14	BLAG06001065	3.4736885406944786	5.357635605539362
endoderm	15	BLAG07000527	3.473665214928795	7.516731219717917
endoderm	16	BLAG10000995	3.4524740335537416	5.869920855678508
endoderm	17	BLAG11000554	3.4269051039457237	4.911907924456079
endoderm	18	BLAG19000843	3.377792434407584	4.109324504030652
endoderm	19	BLAG06001064	3.3626277227981953	5.868667335547255
endoderm	20	BLAG08000351	3.341988787929256	4.10201204685542
endoderm	21	BLAG03000337	3.308515035739612	5.806572020876366
endoderm	22	BLAG05000245	3.2877861582038705	5.890993746095996
endoderm	23	BLAG07000468	3.2759837446493423	4.087224734519958
endoderm	24	BLAG02000883	3.2510804204485857	4.915167873347903
endoderm	25	BLAG04102217	3.2270637161471765	4.7099691725444535
endoderm	26	BLAG01001609	3.215048667021993	6.555994220703007
endoderm	27	BLAG16000309	3.2041392775189124	5.088086342363796
endoderm	28	BLAG11000552	3.189856623411502	4.656623968475861
endoderm	29	BLAG04001575	3.1487376261393782	4.604721223935699
endoderm	30	BLAG08000815	3.144586524469411	4.38185903481953
endoderm	31	BLAG18000610	3.113124860285724	5.426314292071776
endoderm	32	BLAG04000893	3.0979317522205108	6.610019822428587
endoderm	33	BLAG02001453	3.0216327335330506	3.0216327335330506
endoderm	34	BLAG01001031	3.012511739716183	4.516600803266069
endoderm	35	BLAG18000638	2.9692293324855266	6.424016445956343
endoderm	36	BLAG09101428	2.964966040686778	4.109324504030652
endoderm	37	BLAG03000718	2.9621878908783144	7.445205273513159
endoderm	38	BLAG03000523	2.959913415098878	4.833837002959727
endoderm	39	BLAG08000677	2.9429172724127692	4.109324504030652
endoderm	40	BLAG17000561	2.9353510964388803	4.301008595270112
endoderm	41	BLAG15000423	2.93439749194863	4.257992147983043
endoderm	42	BLAG16000257	2.898953578422253	4.38185903481953
endoderm	43	BLAG09001015	2.882692704828861	2.882692704828861
endoderm	44	BLAG05000819	2.8458828819632935	3.644785760326953
endoderm	45	BLAG13000843	2.8115039213926756	5.774015894340287
endoderm	46	BLAG03000201	2.8100516661958794	6.695323807378544
endoderm	47	BLAG04001279	2.8071816124836673	5.249542343616696
endoderm	48	BLAG90000256	2.781320948844856	5.27937793398161
endoderm	49	BLAG13000518	2.778417390821007	4.10201204685542
endoderm	50	BLAG19000270	2.7614006426757207	4.635324230536569
endostyle_csg	1	BLAG13000518	5.508642759178887	6.8322374152133
endostyle_csg	2	BLAG03001041	4.981724604463039	5.588114684570045
endostyle_csg	3	BLAG19000848	4.511989343315932	5.661460899945263
endostyle_csg	4	BLAG19000849	4.396031004044907	6.894087989181661
endostyle_csg	5	BLAG19200001	4.374119996114963	5.765186500987524
endostyle_csg	6	BLAG19000850	4.273958316478869	7.198709341429765
endostyle_csg	7	BLAG02001453	4.266271863683098	4.266271863683098
endostyle_csg	8	BLAG01000025	4.212984005654497	4.212984005654497
endostyle_csg	9	BLAG04001574	4.194066264927935	6.976788498738591
endostyle_csg	10	BLAG19000841	4.0935898510934905	7.353345435668414
endostyle_csg	11	BLAG02001007	4.026561663645962	5.152950881763339
endostyle_csg	12	BLAG07001342	3.89323858858396	3.89323858858396
endostyle_csg	13	BLAG04001279	3.8542084828517327	6.296569213984761
endostyle_csg	14	BLAG07000355	3.841275426104759	6.686538390583961
endostyle_csg	15	BLAG09000419	3.7837568301260767	4.594997819996692
endostyle_csg	16	BLAG07000527	3.7519680187883155	7.795034023577437
endostyle_csg	17	BLAG18000233	3.7161041200364564	6.545578918028509
endostyle_csg	18	BLAG19000847	3.6717833195799017	6.211272367985577
endostyle_csg	19	BLAG07000468	3.621921749822963	4.433162739693579
endostyle_csg	20	BLAG01102804	3.580699961905034	4.410959776207536
endostyle_csg	21	BLAG03000337	3.5125783926929053	6.010635377829659
endostyle_csg	22	BLAG11000553	3.505143510382643	5.782424257042178
endostyle_csg	23	BLAG13000141	3.4974555125802143	4.6842776545517415
endostyle_csg	24	BLAG08000620	3.4673689853194385	4.266271863683098
endostyle_csg	25	BLAG13000146	3.4404623892027697	4.537334862815589
endostyle_csg	26	BLAG19000843	3.3655174573307836	4.097049526953851
endostyle_csg	27	BLAG04000893	3.3437938620479573	6.855881932256033
endostyle_csg	28	BLAG04000574	3.341512475961704	5.174106539819635
endostyle_csg	29	BLAG15000423	3.3259216030695073	4.649516259103921
endostyle_csg	30	BLAG04001629	3.3231963147544676	4.827285378304354
endostyle_csg	31	BLAG01001609	3.315148435436741	6.656093989117755
endostyle_csg	32	BLAG18000695	3.2915164889831336	3.2915164889831336
endostyle_csg	33	BLAG02000883	3.2882898531815328	4.95237730608085
endostyle_csg	34	BLAG02001732	3.283858760272689	4.649516259103921
endostyle_csg	35	BLAG06001163	3.2525492240229283	4.576143880057342
endostyle_csg	36	BLAG08000815	3.238869814940309	4.476142325290428
endostyle_csg	37	BLAG02000586	3.1777524210178676	5.215120733895078
endostyle_csg	38	BLAG08000351	3.170200586013275	3.9302238449394395
endostyle_csg	39	BLAG14000716	3.143546237097133	3.143546237097133
endostyle_csg	40	BLAG18000610	3.076620763206581	5.389810194992633
endostyle_csg	41	BLAG05000813	3.030579402456895	3.6369694825639
endostyle_csg	42	BLAG12000377	3.0123374633090254	4.156695926652899
endostyle_csg	43	BLAG12000473	2.9719779639217085	4.4548834203189855
endostyle_csg	44	BLAG07000356	2.969813605393586	2.969813605393586
endostyle_csg	45	BLAG09000499	2.958966773954316	5.9055473283165005
