section	method	query_label	rank	reference_label	correlation	runner_up	runner_up_correlation
diagnostic	genes		18472				
diagnostic	reference_cell_types		10				
diagnostic	shared_labels		2				
ranked_match	log1p_all	endoderm	1	endoderm	0.99712897		
ranked_match	log1p_all	endoderm	2	mesodermal_other	0.93499570		
ranked_match	log1p_all	endoderm	3	neural	0.90094487		
ranked_match	log1p_all	endoderm	4	epidermal_neural1	0.86613663		
ranked_match	log1p_all	endoderm	5	mesodermal_somites	0.83945758		
ranked_match	log1p_all	endostyle_csg	1	endoderm	0.95563801		
ranked_match	log1p_all	endostyle_csg	2	mesodermal_other	0.88838041		
ranked_match	log1p_all	endostyle_csg	3	neural	0.86089243		
ranked_match	log1p_all	endostyle_csg	4	epidermal_neural1	0.82764153		
ranked_match	log1p_all	endostyle_csg	5	mesodermal_somites	0.80632016		
ranked_match	log1p_all	epidermal_neural	1	neural	0.95743261		
ranked_match	log1p_all	epidermal_neural	2	mesodermal_other	0.91145702		
ranked_match	log1p_all	epidermal_neural	3	endoderm	0.87329558		
ranked_match	log1p_all	epidermal_neural	4	epidermal_neural1	0.86686592		
ranked_match	log1p_all	epidermal_neural	5	mesodermal_somites	0.82988447		
ranked_match	log1p_all	epidermis	1	epidermis_2	0.99391546		
ranked_match	log1p_all	epidermis	2	epidermis_1	0.99390365		
ranked_match	log1p_all	epidermis	3	epidermal_neural2	0.90215775		
ranked_match	log1p_all	epidermis	4	epidermal_neural1	0.89695238		
ranked_match	log1p_all	epidermis	5	neural	0.79821859		
ranked_match	log1p_all	mesodermal_notochord	1	mesodermal_other	0.95298904		
ranked_match	log1p_all	mesodermal_notochord	2	endoderm	0.89965254		
ranked_match	log1p_all	mesodermal_notochord	3	neural	0.88643728		
ranked_match	log1p_all	mesodermal_notochord	4	mesodermal_somites	0.84636239		
ranked_match	log1p_all	mesodermal_notochord	5	epidermal_neural1	0.84249243		
ranked_match	log1p_all	muscular_somites	1	mesodermal_somites	1.00000000		
ranked_match	log1p_all	muscular_somites	2	mesodermal_other	0.89702947		
ranked_match	log1p_all	muscular_somites	3	neural	0.86086029		
ranked_match	log1p_all	muscular_somites	4	endoderm	0.84103673		
ranked_match	log1p_all	muscular_somites	5	epidermal_neural1	0.80244917		
ranked_match	log1p_all	neural	1	neural	0.99525158		
ranked_match	log1p_all	neural	2	mesodermal_other	0.92926740		
ranked_match	log1p_all	neural	3	endoderm	0.89468310		
ranked_match	log1p_all	neural	4	epidermal_neural1	0.88669201		
ranked_match	log1p_all	neural	5	mesodermal_somites	0.86051127		
ranked_match	log1p_all	neural_like	1	neural_like2	0.94422663		
ranked_match	log1p_all	neural_like	2	epidermis_1	0.82862124		
ranked_match	log1p_all	neural_like	3	epidermis_2	0.81942306		
ranked_match	log1p_all	neural_like	4	epidermal_neural1	0.81665349		
ranked_match	log1p_all	neural_like	5	neural_like1	0.81646113		
ranked_match	log1p_all	putative_neuro_endo	1	mesodermal_other	0.71566180		
ranked_match	log1p_all	putative_neuro_endo	2	neural	0.69934035		
ranked_match	log1p_all	putative_neuro_endo	3	epidermal_neural1	0.69106554		
ranked_match	log1p_all	putative_neuro_endo	4	endoderm	0.68882477		
ranked_match	log1p_all	putative_neuro_endo	5	epidermis_2	0.67381406		
