section	query_label	reference_label	correlation	detail
diagnostic	genes		18472	
diagnostic	profiles		12	
match_rank_1	endoderm	endoderm	1.0000000000	
match_rank_2	endoderm	endostyle_csg	0.9330510868	
match_rank_3	endoderm	somite	0.9262741442	
match_rank_1	endostyle_csg	endostyle_csg	1.0000000000	
match_rank_2	endostyle_csg	endoderm	0.9330510868	
match_rank_3	endostyle_csg	somite	0.8820583030	
match_rank_1	epidermal_neural	tailbud_neural	1.0000000000	
match_rank_2	epidermal_neural	neural	0.9400495225	
match_rank_3	epidermal_neural	somite	0.9037380923	
match_rank_1	epidermis	epidermis	1.0000000000	
match_rank_2	epidermis	epidermal_neural	0.9188430621	
match_rank_3	epidermis	neural_like	0.8283553222	
match_rank_1	mesodermal_notochord	mesodermal_notochord	1.0000000000	
match_rank_2	mesodermal_notochord	somite	0.9161917608	
match_rank_3	mesodermal_notochord	endoderm	0.8999667546	
match_rank_1	muscular_somites	muscular_somites	1.0000000000	
match_rank_2	muscular_somites	somite	0.8995009115	
match_rank_3	muscular_somites	neural	0.8605112702	
match_rank_1	neural	neural	1.0000000000	
match_rank_2	neural	tailbud_neural	0.9400495225	
match_rank_3	neural	somite	0.9210490737	
match_rank_1	neural_like	neural_like	1.0000000000	
match_rank_2	neural_like	epidermal_neural	0.8330802536	
match_rank_3	neural_like	epidermis	0.8283553222	
match_rank_1	putative_neuro_endo	putative_neuro_endo	1.0000000000	
match_rank_2	putative_neuro_endo	neural	0.6963810463	
match_rank_3	putative_neuro_endo	epidermal_neural	0.6934783765	
match_rank_1	somite	somite	1.0000000000	
match_rank_2	somite	endoderm	0.9262741442	
match_rank_3	somite	neural	0.9210490737	
match_rank_1	tailbud	tailbud	1.0000000000	
match_rank_2	tailbud	somite	0.9090161088	
match_rank_3	tailbud	neural	0.9022781179	
match_rank_1	tailbud_neural	epidermal_neural	1.0000000000	
match_rank_2	tailbud_neural	epidermis	0.9188430621	
match_rank_3	tailbud_neural	neural	0.8877230759	
permutation_best	epidermal_neural,tailbud_neural		12.0000000000	margin=0.2661594651
permutation_second	None		11.7338405349	
permutation_identity	None		11.7338405349	
