section	method	query_label	rank	reference_label	correlation	runner_up	runner_up_correlation
diagnostic	genes		18472				
diagnostic	reference_cell_types		17				
diagnostic	shared_labels		9				
diagnostic	reference_cells	DiMes	38				
diagnostic	reference_cells	HyTh	245				
diagnostic	reference_cells	endoderm	842				
diagnostic	reference_cells	endostyle_csg	223				
diagnostic	reference_cells	epidermal_neural1	108				
diagnostic	reference_cells	epidermal_neural2	99				
diagnostic	reference_cells	epidermis_1	3189				
diagnostic	reference_cells	epidermis_2	6546				
diagnostic	reference_cells	mesodermal_notochord	409				
diagnostic	reference_cells	muscular_somites	182				
diagnostic	reference_cells	neural	1243				
diagnostic	reference_cells	neural_like1	30				
diagnostic	reference_cells	neural_like2	110				
diagnostic	reference_cells	putative_neuro_endo	166				
diagnostic	reference_cells	somite	666				
diagnostic	reference_cells	tailbud	279				
diagnostic	reference_cells	tailbud_neural	211				
ranked_match	log1p_all	endoderm	1	endoderm	1.00000000		
ranked_match	log1p_all	endoderm	2	endostyle_csg	0.93305109		
ranked_match	log1p_all	endoderm	3	somite	0.92627414		
ranked_match	log1p_all	endoderm	4	mesodermal_notochord	0.89996675		
ranked_match	log1p_all	endoderm	5	neural	0.89390414		
ranked_match	log1p_all	endostyle_csg	1	endostyle_csg	1.00000000		
ranked_match	log1p_all	endostyle_csg	2	endoderm	0.93305109		
ranked_match	log1p_all	endostyle_csg	3	somite	0.88205830		
ranked_match	log1p_all	endostyle_csg	4	neural	0.85455260		
ranked_match	log1p_all	endostyle_csg	5	mesodermal_notochord	0.85293015		
ranked_match	log1p_all	epidermal_neural	1	tailbud_neural	1.00000000		
ranked_match	log1p_all	epidermal_neural	2	neural	0.94004952		
ranked_match	log1p_all	epidermal_neural	3	somite	0.90373809		
ranked_match	log1p_all	epidermal_neural	4	tailbud	0.89334429		
ranked_match	log1p_all	epidermal_neural	5	HyTh	0.88919112		
ranked_match	log1p_all	epidermis	1	epidermis_2	0.99391546		
ranked_match	log1p_all	epidermis	2	epidermis_1	0.99390365		
