external_id	cistrome_id	track	external_id_type
ENCSR000FFJ	62474	SJCRH30_Fibroblast_Muscle | DNase | ID:62474	ENCODE
ENCSR127PWK	62361	Eye | DNase | ID:62361	ENCODE
ENCSR512CWR	62386	Umbilical_Cord | DNase | ID:62386	ENCODE
ENCSR559WMK	62393	Tongue | DNase | ID:62393	ENCODE
ENCSR595CSH	62383	Brain | DNase | ID:62383	ENCODE
ENCSR813CKU	62399	Urinary_Bladder | DNase | ID:62399	ENCODE
ENCSR963ALV	62409	Neural_Progenitor_Cell | DNase | ID:62409	ENCODE
GSM1208591	38812	LoVo_Colon | ASCL2 | ID:38812	GEO
GSM1208592	38856	LoVo_Colon | ATOH1 | ID:38856	GEO
GSM1208593	38820	LoVo_Colon | BARX2 | ID:38820	GEO
GSM1208594	38661	LoVo_Colon | CAMTA2 | ID:38661	GEO
GSM1208595	38860	LoVo_Colon | CASP8AP2 | ID:38860	GEO
GSM1208598	38763	LoVo_Colon | CEBPB | ID:38763	GEO
GSM1208603	38774	LoVo_Colon | CTCF | ID:38774	GEO
GSM1208606	38865	LoVo_Colon | E2F2 | ID:38865	GEO
GSM1208608	38684	LoVo_Colon | EGR1 | ID:38684	GEO
GSM1208609	38657	LoVo_Colon | EHF | ID:38657	GEO
GSM1208620	38741	LoVo_Colon | GATA4 | ID:38741	GEO
GSM1208622	38718	LoVo_Colon | GLI2 | ID:38718	GEO
GSM1208625	38799	LoVo_Colon | GMEB1 | ID:38799	GEO
GSM1208626	38724	LoVo_Colon | GMEB2 | ID:38724	GEO
GSM1208627	38726	LoVo_Colon | HBP1 | ID:38726	GEO
GSM1208631	38704	LoVo_Colon | HINFP | ID:38704	GEO
GSM1208632	38713	LoVo_Colon | HNF4A | ID:38713	GEO
GSM1208634	38817	LoVo_Colon | HOXA1 | ID:38817	GEO
GSM1208639	38743	LoVo_Colon | JUN | ID:38743	GEO
GSM1208641	38790	LoVo_Colon | KLF3 | ID:38790	GEO
GSM1208642	38831	LoVo_Colon | KLF5 | ID:38831	GEO
GSM1208644	38679	LoVo_Colon | LHX2 | ID:38679	GEO
GSM1208646	38653	LoVo_Colon | MED12 | ID:38653	GEO
GSM1208647	38737	LoVo_Colon | MED1 | ID:38737	GEO
GSM1208654	38663	LoVo_Colon | MYC | ID:38663	GEO
GSM1208657	38773	LoVo_Colon | NFAT5 | ID:38773	GEO
GSM1208659	38850	LoVo_Colon | NFE2L2 | ID:38850	GEO
GSM1208661	38785	LoVo_Colon | NIPBL | ID:38785	GEO
GSM1208668	38691	LoVo_Colon | RAD21 | ID:38691	GEO
GSM1208670	38784	LoVo_Colon | RFX1 | ID:38784	GEO
GSM1208671	38761	LoVo_Colon | RFX2 | ID:38761	GEO
GSM1208672	38746	LoVo_Colon | RFX5 | ID:38746	GEO
GSM1208673	38864	LoVo_Colon | RXRA | ID:38864	GEO
GSM1208674	38793	LoVo_Colon | SMAD2 | ID:38793	GEO
GSM1208678	38778	LoVo_Colon | SMC1A | ID:38778	GEO
GSM1208679	38811	LoVo_Colon | SMC3 | ID:38811	GEO
GSM1208683	38771	LoVo_Colon | SP1 | ID:38771	GEO
GSM1208691	38731	LoVo_Colon | TFDP1 | ID:38731	GEO
GSM1208699	38716	LoVo_Colon | YY1 | ID:38716	GEO
GSM1208702	38666	LoVo_Colon | ZBTB7B | ID:38666	GEO
GSM1208705	38750	LoVo_Colon | ZNF407 | ID:38750	GEO
GSM1208709	38782	LoVo_Colon | AEBP2 | ID:38782	GEO
GSM1208712	38852	LoVo_Colon | ATF1 | ID:38852	GEO
GSM1208713	38641	LoVo_Colon | ATF5 | ID:38641	GEO
GSM1208719	38772	LoVo_Colon | CLOCK | ID:38772	GEO
GSM1208721	38721	LoVo_Colon | CREB3L4 | ID:38721	GEO
GSM1208723	38719	LoVo_Colon | DLX1 | ID:38719	GEO
GSM1208730	38698	LoVo_Colon | E2F7 | ID:38698	GEO
GSM1208731	38804	LoVo_Colon | E2F8 | ID:38804	GEO
GSM1208736	38759	LoVo_Colon | ETV5 | ID:38759	GEO
