Supplementary Table 4.  Significant UKBB GWAS trait - sequence class associations identified with LDSR conditioned on the baseline annotations.	Unnamed: 1	Unnamed: 2	Unnamed: 3
Sequence class	Trait	P-value (1-sided)	BH FDR (1-sided)
E5 B-cell-like	DISEASE | Auto Immune Traits	4.98553420769099e-11	9.3528621736283e-08
E5 B-cell-like	BLOOD | Lymphocyte Count	5.6954463367731e-10	5.34232866389317e-07
E5 B-cell-like	DISEASE | Hypothyroidism	1.16362042223983e-09	7.27650637373974e-07
E5 B-cell-like	BLOOD | Eosinophil Count	1.74680591435994e-07	6.55401579067849e-05
E12 Erythroblast-like	BLOOD | Red Blood Cell Distribution Width	1.54671511820581e-07	6.55401579067849e-05
E7 Monocyte / Macrophage	BLOOD | Monocyte Count	5.42992263929953e-07	0.000169775581188765
L2 Low signal	BLOOD | Red Blood Cell Count	1.34193692846729e-06	0.000359639096829234
L2 Low signal	BLOOD | Monocyte Count	1.65075240055046e-06	0.000387101437929083
E10 Brain	COV | Years of Education	2.33803989968528e-06	0.000487351427978844
E5 B-cell-like	DISEASE | Auto Immune Traits (Sure)	2.89884523119177e-06	0.000496752671390478
L2 Low signal	BLOOD | Platelet Count	2.91272888341965e-06	0.000496752671390478
TF2 CEBPB	BLOOD | White Blood Cell Count	4.18090884934941e-06	0.000653615416781624
E10 Brain	MENTAL | Neuroticism	5.28566202651071e-06	0.000762761689364161
E11 T-cell	BLOOD | Eosinophil Count	6.60713039801752e-06	0.000835437580945146
E11 T-cell	DISEASE | Auto Immune Traits	6.67993801395372e-06	0.000835437580945146
E12 Erythroblast-like	BLOOD | Mean Sphered Cell Volume	1.05717458277477e-05	0.00123953719830341
E5 B-cell-like	DISEASE | Dermatologic Diseases	1.35365510901542e-05	0.00125183862779643
E8 Weak multi-tissue	LUNG | FEV1-FVC Ratio	1.3421298082128e-05	0.00125183862779643
E8 Weak multi-tissue	LUNG | Forced Vital Capacity (FVC)	1.38085504063357e-05	0.00125183862779643
E12 Erythroblast-like	BLOOD | Mean Corpuscular Hemoglobin	1.40131189678705e-05	0.00125183862779643
