sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
hFMT_cecal_1296_1	11947	11282	94.43	11141	10891	91.16	10215	85.5
hFMT_cecal_1296_2	11000	10428	94.8	10312	9904	90.04	9088	82.62
hFMT_cecal_1296_3	13937	12961	93	12810	12269	88.03	11038	79.2
hFMT_cecal_1297_1	15221	14814	97.33	14742	14588	95.84	13511	88.77
hFMT_cecal_1297_2	25585	24362	95.22	24302	24098	94.19	22339	87.31
hFMT_cecal_1297_4	12211	11894	97.4	11802	11613	95.1	10720	87.79
mFMT_cecal_1191_2	17951	17238	96.03	17048	16897	94.13	16626	92.62
mFMT_cecal_1191_3	15791	14731	93.29	14575	14351	90.88	14075	89.13
mFMT_cecal_1275_1	14430	13348	92.5	13176	11579	80.24	11333	78.54
mFMT_cecal_1275_2	14431	12869	89.18	12712	11277	78.14	11064	76.67
mFMT_cecal_1275_4	18208	16354	89.82	16120	14451	79.37	14016	76.98
noFMT_cecal_1192_1	16230	15414	94.97	15311	15181	93.54	14843	91.45
noFMT_cecal_1192_3	14952	14106	94.34	14015	13889	92.89	13536	90.53
noFMT_cecal_1294_1	10950	10493	95.83	10435	10413	95.1	10366	94.67
noFMT_cecal_1294_2	9967	9487	95.18	9440	9394	94.25	9337	93.68
noFMT_cecal_1294_3	14469	13925	96.24	13878	13773	95.19	13702	94.7
noFMT_cecal_1295_4	13327	12698	95.28	12630	12403	93.07	11812	88.63
