reference_tissue	best_supplied_column	zero_mismatch_columns	best_mismatches	total_bins	lines_read
Bladder	Bladder		119	200	47527
Brain	Brain		136	200	76146
Cloaca	Stomach		60	200	22530
GallBladder	GallBladder		91	200	42128
Gill	Gill		133	200	61851
Heart	Heart		133	200	60844
Intestine	Intestine		95	200	39884
Kidney	Kidney		133	200	61955
Limb	Limb		131	200	75279
Liver	Liver		79	200	28906
Lung	Lung		132	200	62297
Pancreas	Pancreas		114	200	88031
Prostate	Prostate		135	200	54378
Spleen	Spleen		120	200	44338
Stomach	Cloaca		74	200	24552
