reference_tissue	best_supplied_column	zero_mismatch_columns	best_mismatches	total_bins	lines_read
Bladder	Bladder	Bladder	0	200	47527
Brain	Brain	Brain	0	200	76146
Cloaca	Stomach	Stomach	0	200	22530
GallBladder	GallBladder	GallBladder	0	200	42128
Gill	Gill	Gill	0	200	61851
Heart	Heart	Heart	0	200	60844
Intestine	Intestine	Intestine	0	200	39884
Kidney	Kidney	Kidney	0	200	61955
Limb	Limb	Limb	0	200	75279
Liver	Liver	Liver	0	200	28906
Lung	Lung	Lung	0	200	62297
Pancreas	Pancreas	Pancreas	0	200	88031
Prostate	Prostate	Prostate	0	200	54378
Spleen	Spleen	Spleen	0	200	44338
Stomach	Cloaca	Cloaca	0	200	24552
