reference_tissue	Bladder	Brain	Cloaca	GallBladder	Gill	Heart	Intestine	Kidney	Limb	Liver	Lung	Pancreas	Prostate	Spleen	Stomach
Bladder	119	200	199	199	198	200	198	200	200	197	200	200	199	194	200
Brain	200	136	200	200	197	199	200	200	198	200	198	199	200	200	200
Cloaca	200	200	196	200	200	200	199	200	198	198	200	200	200	200	60
GallBladder	199	200	200	91	200	199	198	198	200	200	199	200	199	199	200
Gill	200	198	200	200	133	199	200	200	200	200	198	200	200	199	200
Heart	200	200	200	200	200	133	197	197	200	200	198	200	198	198	200
Intestine	198	200	199	200	199	198	95	200	199	199	199	200	200	199	199
Kidney	200	200	200	198	199	197	200	133	200	200	199	200	200	199	200
Limb	200	196	200	200	200	200	200	199	131	200	200	199	198	200	198
Liver	198	200	195	200	200	200	200	200	200	79	199	200	200	199	198
Lung	200	199	200	200	198	195	197	200	200	200	132	199	199	200	200
Pancreas	199	199	200	200	200	200	200	200	199	200	199	114	200	200	200
Prostate	199	199	200	199	199	197	198	200	197	200	198	199	135	200	200
Spleen	196	199	200	200	199	199	199	200	200	198	200	200	199	120	200
Stomach	200	200	74	199	200	200	197	199	200	195	200	200	200	200	197
