reference_tissue	Bladder	Brain	Cloaca	GallBladder	Gill	Heart	Intestine	Kidney	Limb	Liver	Lung	Pancreas	Prostate	Spleen	Stomach
Bladder	0	200	200	199	199	200	198	199	200	198	199	200	200	193	200
Brain	200	0	200	200	197	200	200	200	198	200	199	200	200	199	200
Cloaca	200	200	197	199	200	200	199	200	198	198	200	200	200	200	0
GallBladder	199	200	200	0	200	199	199	197	200	200	199	200	199	199	199
Gill	199	197	200	200	0	198	200	199	199	200	195	200	197	198	200
Heart	200	200	200	199	198	0	198	197	200	200	197	200	197	199	200
Intestine	198	200	199	199	200	198	0	200	200	200	199	200	199	200	199
Kidney	199	200	200	197	199	197	200	0	197	200	199	199	200	199	200
Limb	200	198	200	200	199	200	200	197	0	200	199	200	197	200	198
Liver	198	200	194	200	200	200	200	200	200	0	200	200	200	199	198
Lung	199	199	200	199	195	197	199	199	199	200	0	199	200	200	200
Pancreas	200	200	200	200	200	200	200	199	200	200	199	0	200	200	200
Prostate	200	200	199	199	197	197	199	200	197	200	200	200	0	200	200
Spleen	193	199	200	199	198	199	200	199	200	199	200	200	200	0	200
Stomach	200	200	0	200	200	200	199	200	200	194	200	200	199	200	197
