window	expected_cell_type	marker_gene	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
10000	AIIamacrine	GRIK1	0.322332	-0.901867	-0.361653	1.227614	0.310032	-0.502725	-0.881665	1.976417	-1.188486
10000	AIIamacrine	SLC6A9	-0.029777	-0.123116	1.351684	-0.982682	-0.951394	0.067186	-0.092031	-1.198575	1.958705
10000	AIIamacrine	GJD2	1.245337	-0.663925	1.733144	-0.175617	-1.226202	-0.619364	-1.011926	-0.274905	0.993458
10000	AIIamacrine	DAB1	-0.401588	0.422647	0.580511	-0.964004	-1.572156	0.637805	0.773067	-1.113015	1.636733
10000	AIIamacrine	DSCAM	-0.325481	-1.017386	-0.830918	1.306139	0.357724	0.727090	-0.337985	1.590834	-1.470017
10000	AIIamacrine	PCP4	-0.196278	-1.135659	0.440445	1.103235	1.461469	-0.493122	-1.543509	1.028208	-0.664788
10000	AIIamacrine	CACNA2D3	0.564401	-0.521703	-0.150766	1.124074	-0.256451	-0.316061	-1.085294	1.990260	-1.348460
10000	AIIamacrine	C1QL2	0.957668	0.824985	-1.100897	1.596002	0.466621	-0.335020	-0.045020	-0.674223	-1.690118
10000	Astrocyte	GFAP	-0.030666	2.220768	-0.081581	-1.242613	-0.157704	-0.732442	0.596915	-1.133356	0.560679
10000	Astrocyte	AQP4	0.227266	1.612570	-1.445769	-0.260131	-0.594558	0.354149	1.380958	0.067005	-1.341491
10000	Astrocyte	ALDH1L1	0.290542	1.549351	-1.103655	-0.519962	-0.594393	0.502956	1.488868	-0.135413	-1.478293
10000	Astrocyte	S100B	-1.562273	1.750011	-0.548580	0.633930	-0.023197	0.633099	-0.689880	0.877617	-1.070728
10000	Astrocyte	GJA1	-0.773763	2.472020	-0.576286	0.747047	-0.613147	0.073558	-0.629240	0.084524	-0.784713
10000	Astrocyte	GLI3	-0.859498	1.699901	-1.197718	0.416089	0.118397	0.550883	0.896585	0.000964	-1.625603
