rows	295420
columns	9
labels	AIIamacrine,Astrocyte,Cone,GABAamacrine,Horizontal,Microglia,Mullerglia,Retinalganglioncell,Rod
missing_markers	None
canonical_chromosomes_seen	23
library	AIIamacrine	11836803	279885
library	Astrocyte	7530916	270142
library	Cone	48403523	282518
library	GABAamacrine	37015795	282551
library	Horizontal	31640818	282550
library	Microglia	8155368	276957
library	Mullerglia	94395242	282832
library	Retinalganglioncell	21014655	282266
library	Rod	413545691	283153
window	10000
swap_gain	10000	1	AIIamacrine	GABAamacrine	-0.339498
swap_gain	10000	2	Astrocyte	Mullerglia	-1.215112
swap_gain	10000	3	AIIamacrine	Horizontal	-1.372302
swap_gain	10000	4	AIIamacrine	Microglia	-1.794950
swap_gain	10000	5	Astrocyte	GABAamacrine	-1.902505
prediction	10000	AIIamacrine	GABAamacrine	0.529345	Retinalganglioncell	0.415625
prediction	10000	Astrocyte	Astrocyte	1.417216	Mullerglia	0.274830
prediction	10000	Cone	Cone	2.169489	Microglia	-0.045618
prediction	10000	GABAamacrine	GABAamacrine	0.823157	Astrocyte	0.378119
prediction	10000	Horizontal	Horizontal	1.482385	AIIamacrine	0.553454
prediction	10000	Microglia	Microglia	1.782374	AIIamacrine	0.358777
prediction	10000	Mullerglia	Mullerglia	1.169720	Astrocyte	1.096995
prediction	10000	Retinalganglioncell	Retinalganglioncell	2.236830	Horizontal	0.217779
prediction	10000	Rod	Rod	1.961389	Microglia	0.605510
window	25000
swap_gain	25000	1	AIIamacrine	GABAamacrine	-0.510830
swap_gain	25000	2	Astrocyte	Mullerglia	-0.853081
swap_gain	25000	3	AIIamacrine	Horizontal	-1.511744
swap_gain	25000	4	AIIamacrine	Microglia	-1.734636
swap_gain	25000	5	AIIamacrine	Mullerglia	-2.100265
prediction	25000	AIIamacrine	GABAamacrine	0.567775	Retinalganglioncell	0.414238
prediction	25000	Astrocyte	Astrocyte	1.331178	Mullerglia	0.519276
prediction	25000	Cone	Cone	1.984963	Microglia	-0.047035
prediction	25000	GABAamacrine	GABAamacrine	0.873281	Astrocyte	0.348762
prediction	25000	Horizontal	Horizontal	1.515217	AIIamacrine	0.610445
prediction	25000	Microglia	Microglia	1.507125	AIIamacrine	0.250829
prediction	25000	Mullerglia	Mullerglia	1.221400	Astrocyte	1.180221
prediction	25000	Retinalganglioncell	Retinalganglioncell	2.211593	Horizontal	0.065425
prediction	25000	Rod	Rod	2.057766	Microglia	0.620067
window	50000
swap_gain	50000	1	AIIamacrine	GABAamacrine	-0.668737
swap_gain	50000	2	Astrocyte	Mullerglia	-0.871420
swap_gain	50000	3	AIIamacrine	Horizontal	-1.417876
swap_gain	50000	4	AIIamacrine	Microglia	-1.810932
swap_gain	50000	5	Astrocyte	GABAamacrine	-1.875247
prediction	50000	AIIamacrine	GABAamacrine	0.497764	AIIamacrine	0.466395
prediction	50000	Astrocyte	Astrocyte	1.171641	Mullerglia	0.355311
prediction	50000	Cone	Cone	1.968365	Microglia	0.002102
prediction	50000	GABAamacrine	GABAamacrine	0.899751	Astrocyte	0.357763
prediction	50000	Horizontal	Horizontal	1.569562	AIIamacrine	0.691448
prediction	50000	Microglia	Microglia	1.478499	Horizontal	0.309516
prediction	50000	Mullerglia	Mullerglia	1.161041	Astrocyte	1.105952
prediction	50000	Retinalganglioncell	Retinalganglioncell	2.278884	Horizontal	0.083301
prediction	50000	Rod	Rod	2.144775	Microglia	0.526013
