rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	HDSigDB_Mouse_2021	Top Microglia-Enriched Genes In Humans And Mice PMID29892006	42/1101	1.7234596923216697e-24	3.079822470178824e-21	10.66798866855524	583.7278943781245	BTG2;NCF1;CLEC4N;MVP;H2-DMA;IL4RA;IL6RA;IKZF1;CBL;MS4A6D;SOCS3;ZFP36;CCRL2;IL21R;PMAIP1;TSPO;IER5;LYN;SRGN;CD53;PTPN1;CD180;PRKCD;CYBB;RAB3IL1;NEAT1;SCIMP;VAV1;PSMB8;KLF2;MAFB;RNF149;ID2;NINJ1;TXNIP;TGFBI;PABPC1;TMEM106A;FKBP5;LGMN;C1QC;HSPA1A
2	HDSigDB_Mouse_2021	Top Microglia-Specific Genes In Humans And Mice PMID29892006	41/1081	9.096538901440282e-24	8.127757508436891e-21	10.465438786565548	555.2349406868221	DDX5;BTG2;NCF1;CLEC4N;H2-DMA;IL4RA;IL6RA;IKZF1;CST7;CBL;MS4A6D;ZFP36;CCRL2;IL21R;IER5;LYN;CD53;PTPN1;CD180;PRKCD;CYBB;MCEMP1;RAB3IL1;NEAT1;SCIMP;VAV1;PSMB8;DOK2;MAFB;SPINT1;RNF149;NINJ1;BCL3;TXNIP;TGFBI;PABPC1;TMEM106A;FKBP5;LGMN;C1QC;HSPA1A
3	HDSigDB_Mouse_2021	Genes Up-Regulated In Mouse Microglia During Acute Immune Activation PMID26001565	36/893	1.370064255114852e-21	8.161016079634134e-19	10.518884726401769	505.3212192612718	BTG2;IFITM2;NCF1;MVP;IL4RA;CST7;MS4A6D;LMNB1;SOCS3;CCND3;ZFP36;LDHA;CFL1;IER5;SRGN;EIF5A;CDKN2D;PTPN1;XBP1;GPR35;SSR2;CYBB;DDX54;RAB3IL1;MT1;MRPS7;VAV1;MRPL52;TSPAN13;SPINT1;EIF6;ID2;BCL3;PABPC1;FKBP5;GPR146
4	HDSigDB_Mouse_2021	Genes Enriched In Microglia Vs Astrocytes Or Oligodendrocytes PMID23954174	40/1199	4.1203863757505275e-21	1.8407826133665485e-18	8.977566867989646	421.3920861426308	BTG2;NCF1;CLEC4N;MVP;H2-DMA;IL4RA;IL6RA;IKZF1;CST7;MS4A6D;LMNB1;SOCS3;ZFP36;CCRL2;IL21R;PMAIP1;WFDC17;IER5;LYN;SRGN;CD53;PTPN1;PRKCD;RAB3IL1;FOS;VAV1;PSMB8;MRPL52;NR4A1;MAFB;SPINT1;RNF149;NINJ1;BCL3;TXNIP;PABPC1;FKBP5;LGMN;C1QC;HSPA1A
5	HDSigDB_Mouse_2021	Genes Changed In Mouse Microglia During Acute Immune Activation PMID26001565	43/1873	1.1260098377295624e-16	4.0243591600454565e-14	6.149473350756316	225.82514953896828	BTG2;IFITM2;NCF1;MVP;IL4RA;IKZF1;CST7;MS4A6D;LMNB1;SOCS3;CCND3;ZFP36;LDHA;CFL1;IER5;SRGN;EIF5A;CDKN2D;PTPN1;XBP1;GPR35;SSR2;CD180;CYBB;DDX54;RAB3IL1;MT1;MRPS7;VAV1;MRPL52;ZEB2;MAFB;TSPAN13;SPINT1;EIF6;DNAJC7;ID2;BCL3;MYADM;TGFBI;PABPC1;FKBP5;GPR146
6	HDSigDB_Mouse_2021	Top Microglia-Expressed Genes In Humans And Mice PMID29892006	33/1062	2.321785797782796e-16	6.915052034396429e-14	7.655792154113001	275.6010520628383	DDX5;BTG2;NCF1;H2-DMA;IL4RA;IL6RA;IKZF1;ZFP36;LDHA;LAMP2;CCRL2;IER5;LYN;SRGN;CD53;CD180;PRKCD;CYBB;FOS;NEAT1;PDIA6;VAV1;NR4A2;ZEB2;MAFB;DNAJC7;ID2;TXNIP;CALR;PABPC1;FKBP5;LGMN;C1QC
7	HDSigDB_Mouse_2021	Genes Up-Regulated In HD Grade 3 Markers In Human Caudate Nucleus (HG-U133A) GSE3790	36/1399	2.5707734077595904e-15	6.562817256666269e-13	6.438004402054292	216.28198699827576	IFITM1;DDX5;BTG2;IFITM2;H2-DMA;IL4RA;IL6RA;MS4A6D;EPS8;ZFP36;LAMP2;TSPO;FYN;IER5;LYN;SRGN;CD53;MT1;FOS;NEAT1;PSMB8;KLF2;MANF;NR4A2;MAFB;NR4A3;FABP5;DAD1;ID2;NINJ1;BCL3;CDK2AP2;TXNIP;TGFBI;FKBP5;HSPA1A
8	HDSigDB_Mouse_2021	Genes Up-Regulated In Expression In The Heart Of Mice Inducibly Expressing Celf1 For 7 D GSE56185	60/4020	3.998860085766817e-15	8.932453716581628e-13	4.641025641025641	153.8628419637523	IFITM1;BTG2;IFITM2;RNH1;NCF1;CLEC4N;IKZF1;EPS8;LSM12;LAMP2;CFL1;TSPO;CD38;SRGN;CD53;GPR35;SSR2;CD180;PRKCD;CYBB;MCEMP1;RAB3IL1;FOS;CYP7B1;PDIA6;VAV1;DOK2;ZEB2;DNAJB11;TXNIP;PABPC1;TMEM106A;FKBP5;DDX5;MVP;H2-DMA;IL4RA;IL6RA;CST7;CBL;MS4A6D;SOCS3;IL21R;WFDC17;LYN;PTPN1;PRELID1;XBP1;MT1;MANF;MAFB;EIF6;FABP5;RNF149;ID2;BCL3;TGFBI;CALR;LGMN;C1QC
9	HDSigDB_Mouse_2021	Genes Up-Regulated In Friedreich Ataxia iPSCs Expression Vs Control Lung GSE22651	64/4838	8.176563092243081e-14	1.6235020273153758e-11	4.221198156682028	127.20546622078886	IFITM1;BTG2;IFITM2;RNH1;NCF1;ZFAND3;IKZF1;EPS8;CCND3;ZFP36;LAMP2;TSPO;CD38;IER5;SRGN;CD53;SSR2;PRKCD;CYBB;MCEMP1;RAB3IL1;FOS;NEAT1;VAV1;SMDT1;ZEB2;SPINT1;DAD1;NINJ1;MYADM;ORAI1;TXNIP;CRELD2;FKBP5;MVP;H2-DMA;IL4RA;IL6RA;CST7;MS4A6D;SOCS3;LDHA;LYN;CDKN2D;PTPN1;XBP1;MT1;SCIMP;PSMB8;KLF2;MANF;NR4A2;MAFB;TSPAN13;RNF149;ID2;BCL3;CDK2AP2;TGFBI;CALR;LGMN;EIF4G1;C1QC;HSPA1A
10	HDSigDB_Mouse_2021	HD Grade 3 Markers In Human Caudate Nucleus (HG-U133A) GSE3790	43/2291	1.489892613978892e-13	2.6624381011802794e-11	4.890143896023519	144.4299215306652	IFITM1;DDX5;BTG2;IFITM2;H2-DMA;IL4RA;IL6RA;BZW2;MS4A6D;EPS8;ZFP36;LAMP2;TSPO;FYN;IER5;LYN;SRGN;CD53;CDKN2D;PRKCD;DDX54;MT1;FOS;NEAT1;PSMB8;KLF2;FOXP1;MANF;NR4A2;OLFM1;MAFB;NR4A3;TSPAN13;FABP5;DAD1;ID2;NINJ1;BCL3;CDK2AP2;TXNIP;TGFBI;FKBP5;HSPA1A
11	HDSigDB_Mouse_2021	The Core Human Microglia Signature PMID28671693	31/1170	1.7238398519979186e-13	2.8004561959275278e-11	6.299862344053155	185.1469816081213	BTG2;NCF1;H2-DMA;IL4RA;IL6RA;IKZF1;MS4A6D;ZFP36;CCRL2;IL21R;PMAIP1;LYN;SRGN;CD53;CD180;PRKCD;CYBB;MCEMP1;RAB3IL1;FOS;NEAT1;SCIMP;VAV1;DOK2;SPINT1;NINJ1;BCL3;TGFBI;TMEM106A;C1QC;HSPA1A
12	HDSigDB_Mouse_2021	Genes Common In Human And Mouse Microglia PMID28671693	25/735	2.6672235420762614e-13	3.971940391408566e-11	7.7618585073660356	224.7257374007781	BTG2;NCF1;IKZF1;ZFP36;CCRL2;IL21R;PMAIP1;LYN;SRGN;CD53;CD180;PRKCD;CYBB;RAB3IL1;FOS;NEAT1;SCIMP;VAV1;DOK2;SPINT1;NINJ1;BCL3;TGFBI;TMEM106A;C1QC
13	HDSigDB_Mouse_2021	Genes Down-Regulated In Myotonic Dystrophy 2 Markers In Human Skeletal Muscle E-D-7014	51/3281	4.4127281479296925e-13	6.065804000269505e-11	4.311820534943918	122.6674699925944	IFITM1;BTG2;IFITM2;RNH1;VARS;ZFAND3;LMNB1;CCND3;ZFP36;CFL1;TSPO;IER5;SRGN;CD53;EIF5A;SSR2;DDX54;MRPL52;OLFM1;COX7A2L;SMDT1;DAD1;NINJ1;MVP;IL6RA;HSD17B10;SOCS3;MRPL20;PSMB5;PMAIP1;LYN;CDKN2D;PTPN1;PRELID1;TRAPPC5;MT1;KLF2;MANF;TIMM10B;NR4A2;NR4A1;NR4A3;EIF6;RNF149;ID2;BCL3;CDK2AP2;CALR;C1QC;GPR146;HSPA1A
14	HDSigDB_Mouse_2021	Genes Up-Regulated In Friedreich Ataxia iPSCs Expression Vs Control Adipose Tissue GSE22651	62/4730	4.76276765200395e-13	6.079332710093614e-11	4.043016281062553	114.71160044219047	IFITM1;BTG2;IFITM2;RNH1;NCF1;ZFAND3;IKZF1;EPS8;CCND3;ZFP36;LAMP2;TSPO;CD38;SRGN;CD53;PRKCD;CYBB;MCEMP1;RAB3IL1;FOS;NEAT1;VAV1;OLFM1;SMDT1;ZEB2;DAD1;NINJ1;MYADM;TXNIP;CRELD2;TMEM106A;FKBP5;DDX5;MVP;H2-DMA;IL4RA;IL6RA;CST7;HSD17B10;MS4A6D;SOCS3;LDHA;FYN;LYN;CDKN2D;PTPN1;MT1;SCIMP;PSMB8;KLF2;NR4A2;MAFB;NR4A3;RNF149;BCL3;CDK2AP2;TGFBI;LGMN;EIF4G1;C1QC;GPR146;HSPA1A
15	HDSigDB_Mouse_2021	PLC Pericyte Lineage Cell-Enriched Genes PMID30078729	56/4104	3.4773682241831922e-12	4.142704677743576e-10	3.9130434782608696	103.24465577869964	IFITM1;BTG2;IFITM2;ZFAND3;BZW2;ATP5G1;LMNB1;EPS8;CCND3;LSM12;CASP6;LAMP2;CFL1;CCRL2;IER5;EIF5A;SSR2;FOS;CYP7B1;PDIA6;FOXP1;MRPL52;COX7A2L;SMDT1;ZEB2;DNAJC7;DAD1;DNAJB11;MYADM;TXNIP;PABPC1;CRELD2;DDX5;SDC3;HSD17B10;SOCS3;MRPL20;LDHA;PSMB5;FYN;LYN;PTPN1;PRELID1;XBP1;KLF2;MANF;TIMM10B;NR4A1;TSPAN13;EIF6;FABP5;RNF149;TGFBI;CALR;EIF4G1;HSPA1A
16	HDSigDB_Mouse_2021	Genes Up-Regulated In Expression In 13 Wk TIF-IA KO HD Mice GSE29647	43/2520	3.888642324262663e-12	4.343127395910861e-10	4.380433319876194	115.08695393441948	IFITM1;BTG2;IFITM2;RNH1;NCF1;MVP;SDC3;CST7;MS4A6D;EPS8;SOCS3;CCND3;ZFP36;CASP6;LAMP2;PMAIP1;TSPO;CD38;FYN;LYN;SRGN;CD53;PRKCD;CYBB;RAB3IL1;MT1;NEAT1;VAV1;PSMB8;MANF;ZEB2;MAFB;EIF6;BCL3;ORAI1;TXNIP;LY6A;TGFBI;PABPC1;TMEM106A;LGMN;C1QC;HSPA1A
17	HDSigDB_Mouse_2021	Genes Changed In Microglia Of AD Model Mice PMID26001565	34/1613	5.636508716532952e-12	5.924965339084931e-10	5.054367418521947	130.91699294317272	BTG2;SDC3;IL6RA;IKZF1;BZW2;CST7;MS4A6D;LMNB1;EPS8;SOCS3;LDHA;IL21R;PMAIP1;TSPO;FYN;SRGN;PTPN1;CYBB;RAB3IL1;MT1;VAV1;PSMB8;KLF2;OLFM1;NR4A3;SPINT1;DNAJC7;FABP5;BCL3;TXNIP;TGFBI;TMEM106A;LGMN;C1QC
18	HDSigDB_Mouse_2021	Genes Down-Regulated In R6/1 Treated With PLX3397 Vs Vehicle Treated WT Mice GSE136158	17/377	3.5212918223083947e-11	3.495860270258389e-09	9.706900584795322	233.64129299678743	LYN;CD53;NCF1;CD180;RAB3IL1;IL6RA;IKZF1;VAV1;MS4A6D;OLFM1;ZFP36;LDHA;MAFB;CFL1;IL21R;TXNIP;C1QC
19	HDSigDB_Mouse_2021	Liver RNA M12 Module (Tan) PMID26900923	22/709	5.2516811929529606e-11	4.788600325954213e-09	6.831990942907973	161.71245886677252	LYN;CD53;PTPN1;NCF1;CLEC4N;GPR35;H2-DMA;CD180;SDC3;CYBB;RAB3IL1;IKZF1;SCIMP;VAV1;MS4A6D;PSMB8;DOK2;TSPAN13;PMAIP1;WFDC17;LGMN;C1QC
20	HDSigDB_Mouse_2021	Genes Up-Regulated In Human Symptomatic HD BA9 Vs Control GSE129473	46/3084	5.359373616065152e-11	4.788600325954213e-09	3.865681169828635	91.42177055200789	IFITM1;DDX5;BTG2;IFITM2;H2-DMA;IL4RA;IKZF1;CST7;MS4A6D;EPS8;SOCS3;CCND3;ZFP36;CASP6;GPR171;CCRL2;PMAIP1;TSPO;FYN;SRGN;CD53;PRELID1;XBP1;MRPS24;SSR2;CD180;CYBB;MCEMP1;RAB3IL1;MT1;FOS;PDIA6;KLF2;MANF;DOK2;DAD1;RNF149;ID2;NINJ1;BCL3;CDK2AP2;TXNIP;TGFBI;PABPC1;FKBP5;HSPA1A
21	HDSigDB_Mouse_2021	Genes Down-Regulated In Myotonic Dystrophy 1 Markers In Human Skeletal Muscle E-D-7014	47/3230	6.937424882768623e-11	5.903418221670252e-09	3.7948476280238768	88.76719867543635	IFITM1;BTG2;IFITM2;RNH1;VARS;ZFAND3;MVP;IL6RA;HSD17B10;LMNB1;SOCS3;MRPL20;CCND3;LSM12;ZFP36;PSMB5;CFL1;PMAIP1;TSPO;IER5;SRGN;EIF5A;CDKN2D;PTPN1;PRELID1;XBP1;SSR2;TRAPPC5;DDX54;MT1;KLF2;MANF;MRPL52;OLFM1;COX7A2L;SMDT1;NR4A3;EIF6;DAD1;RNF149;BCL3;CDK2AP2;CALR;FKBP5;EIF4G1;GPR146;HSPA1A
22	HDSigDB_Mouse_2021	Up-regulated Genes In Human Neurodegenerative Prefrontal Cortex PMID29375298	38/2199	8.351109306850729e-11	6.7833783324282975e-09	4.212426679340146	97.75374893369484	IFITM1;IFITM2;NCF1;H2-DMA;IL4RA;IL6RA;IKZF1;CST7;MS4A6D;SOCS3;CCND3;CASP6;CCRL2;TSPO;FYN;SRGN;CD53;GPR35;SSR2;CD180;TRAPPC5;MCEMP1;RAB3IL1;MT1;VAV1;PSMB8;KLF2;MANF;MRPL52;DAD1;RNF149;NINJ1;BCL3;CDK2AP2;FKBP5;C1QC;GPR146;HSPA1A
23	HDSigDB_Mouse_2021	Up-regulated Genes In The Heart Of Dox Treated FRDAkd Mice At 16 Wk GSE98790	20/608	1.6004208248777416e-10	1.2434573974158802e-08	7.135462880804496	160.94453466827977	CD53;PRELID1;IFITM2;CLEC4N;SSR2;MVP;SDC3;VAV1;MS4A6D;SOCS3;ZEB2;EIF6;LAMP2;TSPO;LY6A;WFDC17;TGFBI;PABPC1;LGMN;C1QC
