rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	Drug_Perturbations_from_GEO_down	Etanercept DB00005 human GSE7524 sample 3295	17/379	3.8252843020674426e-11	2.0357213961975235e-08	9.652282640302412	231.5274044237057	SRGN;IFITM1;DDX5;XBP1;BTG2;CST7;ZFP36;LDHA;FABP5;NINJ1;BCL3;TXNIP;PMAIP1;CD38;FYN;PABPC1;IER5
2	Drug_Perturbations_from_GEO_down	curcumin 969516 human GSE10896 sample 3407	16/330	4.778688723468365e-11	2.0357213961975235e-08	10.389596602972398	246.90117719866168	LYN;IFITM1;PRELID1;IFITM2;NCF1;MRPS24;CYBB;CST7;MAFB;RNF149;ID2;LAMP2;CFL1;MYADM;TXNIP;PABPC1
3	Drug_Perturbations_from_GEO_down	citalopram DB00215 human GSE7036 sample 3292	15/288	7.405367545485081e-11	2.05318930587174e-08	11.11079642007477	259.1730032405968	EIF5A;IFITM1;DDX5;IFITM2;NEAT1;PDIA6;PSMB8;ZFP36;LDHA;PSMB5;FABP5;CFL1;DNAJB11;CRELD2;HSPA1A
4	Drug_Perturbations_from_GEO_down	cyclosporine DB00091 mouse GSE1809 sample 3299	16/346	9.639386412543378e-11	2.05318930587174e-08	9.877777777777778	227.80702606231824	SRGN;IFITM2;MT1;NEAT1;ATP5G1;MS4A6D;PSMB8;LDHA;PSMB5;RNF149;MYADM;TSPO;CD38;TGFBI;PABPC1;LGMN
5	Drug_Perturbations_from_GEO_down	EPZ004777 56962336 human GSE29828 sample 2649	16/352	1.2423273669034614e-10	2.1169258332034985e-08	9.698412698412698	221.20978014034355	SRGN;PRELID1;XBP1;NCF1;MCEMP1;PDIA6;MANF;LMNB1;CCND3;LDHA;FABP5;DAD1;CFL1;DNAJB11;CDK2AP2;CRELD2
6	Drug_Perturbations_from_GEO_down	imatinib DB00619 human GSE28698 sample 2524	16/375	3.145368584851807e-10	4.466423390489565e-08	9.066388115134632	198.37184528418447	LYN;IFITM1;PRELID1;IFITM2;FOS;NEAT1;MANF;LDHA;DAD1;RNF149;CFL1;TXNIP;TSPO;TGFBI;CRELD2;HSPA1A
7	Drug_Perturbations_from_GEO_down	imatinib DB00619 human GSE23743 sample 2763	15/354	1.295252036737663e-09	1.576506764714984e-07	8.917525773195877	182.4932460326739	CD53;IFITM1;XBP1;IFITM2;BZW2;PDIA6;ATP5G1;MANF;CCND3;LDHA;TSPAN13;FABP5;DAD1;CFL1;PABPC1
8	Drug_Perturbations_from_GEO_down	ubiquinol 9962735 human GSE21351 sample 3448	14/319	3.059327243408661e-09	3.258183514230224e-07	9.172365339578452	179.82487188818558	LYN;DDX5;PRKCD;FOS;NEAT1;ZFP36;LDHA;MAFB;ID2;MYADM;PMAIP1;TGFBI;PABPC1;IER5
9	Drug_Perturbations_from_GEO_down	curcumin 969516 human GSE10896 sample 3408	14/385	3.298152279051774e-08	3.122250824169013e-06	7.515209857527917	129.46691266563184	LYN;IFITM1;PRELID1;IFITM2;NCF1;CYBB;MCEMP1;CST7;MAFB;FABP5;RNF149;ID2;LAMP2;MYADM
10	Drug_Perturbations_from_GEO_down	Bisphenol A 6623 mouse GSE4650 sample 3574	14/398	4.9829536683605796e-08	4.245476525443213e-06	7.255952380952381	122.00635718865928	EIF5A;PRELID1;IFITM2;SSR2;ATP5G1;LDHA;SMDT1;PSMB5;EIF6;CASP6;DAD1;LAMP2;CFL1;CALR
11	Drug_Perturbations_from_GEO_down	decitabine 451668 mouse GSE4768 sample 3103	13/349	7.994717465943262e-08	6.192272073621508e-06	7.6411736411736415	124.87129351809652	EIF5A;DDX5;XBP1;IFITM2;FOS;HSD17B10;MANF;SOCS3;NR4A1;COX7A2L;LDHA;FABP5;TGFBI
