1	PanglaoDB_Augmented_2021	Microglia	10/158	2.0171410660291925e-08	1.6943984954645215e-06	13.07631160572337	231.6991594429424	CD53;DOK2;MAFB;NCF1;CCRL2;CD180;IL21R;CYBB;FOS;VAV1
2	PanglaoDB_Augmented_2021	B Cells	8/182	8.56160249663838e-06	0.00035958730485881194	8.71529619805482	101.69202109936602	CD53;DOK2;NCF1;CD180;IL21R;CD38;IKZF1;CRELD2
3	PanglaoDB_Augmented_2021	Macrophages	8/204	1.9601722587085355e-05	0.0005488482324383899	7.728414442700157	83.77518645700673	CD53;DOK2;NR4A3;NCF1;GPR171;CD180;CYBB;SCIMP
6	PanglaoDB_Augmented_2021	Natural Killer T Cells	6/118	5.337113052767533e-05	0.0007471958273874546	9.994609164420485	98.32936951273506	CD53;NR4A1;DOK2;GPR171;IKZF1;CST7
8	PanglaoDB_Augmented_2021	Dendritic Cells	7/199	0.00013033947501672258	0.0013685644876755	6.838888888888889	61.176378949728026	CD53;DOK2;NR4A3;NCF1;CD180;CYBB;SCIMP
9	PanglaoDB_Augmented_2021	B Cells Memory	6/147	0.00017954994351553045	0.0015863095040645	7.927338418305901	68.3737469201928	CD53;DOK2;NCF1;CD180;CD38;IKZF1
10	PanglaoDB_Augmented_2021	Plasmacytoid Dendritic Cells	6/150	0.000200379597606392	0.0015863095040645	7.761006289308176	66.08727359008208	CD53;DOK2;NCF1;CD180;CYBB;IKZF1
11	PanglaoDB_Augmented_2021	B Cells Naive	6/151	0.0002077310064846438	0.0015863095040645	7.707091737150293	65.35048518981401	CD53;DOK2;NCF1;CD180;IKZF1;FOXP1
19	PanglaoDB_Augmented_2021	Monocytes	5/176	0.0031336959709306	0.0138136388100502	5.3880417554790405	31.064981845384118	LYN;CD53;DOK2;NCF1;CYBB
21	PanglaoDB_Augmented_2021	Alveolar Macrophages	4/123	0.0050762412614121	0.0193820120890283	6.152816682228447	32.50646388369434	NCF1;CCRL2;CYBB;MCEMP1
26	PanglaoDB_Augmented_2021	Neutrophils	4/151	0.0103333656518015	0.0333847197981281	4.973796926177879	22.742075839635067	DOK2;NCF1;CCRL2;MCEMP1
27	PanglaoDB_Augmented_2021	NK Cells	4/157	0.0117918167653152	0.0366856521587584	4.777293633502784	21.21285331353188	CD53;DOK2;GPR171;CST7
37	PanglaoDB_Augmented_2021	Red Pulp Macrophages	2/110	0.1264770587903705	0.2871371064430034	3.32996632996633	6.885352535182575	NCF1;CYBB
