rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	Gene_Perturbations_from_GEO_up	Mn1 reotrviral delivery of MN1 or MN1VP16 fusion for transcriptional mouse GSE48819 sample 1559	20/285	1.2303235972613216e-16	2.582008326388677e-13	16.097621000820343	589.7216042248549	IFITM1;BTG2;GPR35;CYBB;FOS;MS4A6D;KLF2;SOCS3;NR4A1;ZFP36;ID2;BCL3;MYADM;PMAIP1;LY6A;WFDC17;TGFBI;TMEM106A;LGMN;HSPA1A
2	Gene_Perturbations_from_GEO_up	Tcf4 Deletion mouse GSE12505 sample 2866	24/484	2.2144153742613003e-16	2.582008326388677e-13	11.518577075098817	415.2029263536087	SRGN;BTG2;RNH1;H2-DMA;CYBB;FOS;KLF2;MANF;NR4A1;ZFP36;LDHA;SMDT1;PSMB5;TSPAN13;DAD1;RNF149;GPR171;TXNIP;TSPO;PABPC1;IER5;LGMN;C1QC;HSPA1A
3	Gene_Perturbations_from_GEO_up	Socs3 KO mouse GSE411 sample 2456	20/301	3.5458929454722583e-16	2.756340782947102e-13	15.16865232863995	539.6334750352285	CD53;CDKN2D;PTPN1;RNH1;IL4RA;MT1;BZW2;VAV1;PSMB8;MANF;EPS8;MRPL52;ZFP36;LDHA;FABP5;RNF149;ID2;CFL1;TSPO;LY6A
4	Gene_Perturbations_from_GEO_up	Dusp1 KO mouse GSE3565 sample 802	20/313	7.535642231712477e-16	4.393279421088374e-13	14.53850719691349	506.25578941141305	SRGN;EIF5A;DDX39;PTPN1;IFITM1;IFITM2;CYBB;MT1;MS4A6D;PSMB8;SOCS3;ZFP36;LDHA;EIF6;FABP5;RNF149;CCRL2;BCL3;TSPO;LY6A
5	Gene_Perturbations_from_GEO_up	MAP3K7 knockout mouse GSE34417 sample 2057	20/336	2.933874154329614e-15	1.3683589055793318e-12	13.464501926252064	450.55525760150175	CDKN2D;PTPN1;IFITM1;CLEC4N;MT1;MS4A6D;SOCS3;MAFB;RNF149;GPR171;LAMP2;ORAI1;TSPO;CD38;LY6A;TGFBI;TMEM106A;FKBP5;LGMN;C1QC
6	Gene_Perturbations_from_GEO_up	Mbd2 KO mouse GSE48653 sample 1051	22/454	7.386419146673372e-15	2.8708549083403838e-12	11.009053497942388	358.2250596208025	LYN;IFITM1;XBP1;IFITM2;NCF1;CLEC4N;SSR2;CYBB;MT1;FOS;MS4A6D;MANF;MRPL20;ZEB2;MAFB;LAMP2;MYADM;LY6A;TGFBI;CRELD2;C1QC;HSPA1A
7	Gene_Perturbations_from_GEO_up	Eed KO mouse GSE51084 sample 1449	19/343	5.674418936539656e-14	1.8903921371443543e-11	12.336253816540555	376.2584940400298	CD53;DDX39;IFITM1;XBP1;MT1;ATP5G1;MANF;MRPL52;SOCS3;MRPL20;LDHA;PSMB5;FABP5;DAD1;ID2;PMAIP1;CD38;LY6A;TGFBI
8	Gene_Perturbations_from_GEO_up	Tnf siTNF mouse GSE31906 sample 1111	19/355	1.0517157305327808e-13	3.065751354503056e-11	11.888376856118793	355.26254531634606	SRGN;CD53;PTPN1;IFITM1;CLEC4N;IL4RA;CYBB;MS4A6D;PSMB8;SOCS3;NR4A1;FABP5;BCL3;CD38;LY6A;WFDC17;FKBP5;LGMN;C1QC
9	Gene_Perturbations_from_GEO_up	Lmna KO mouse GSE5304 sample 1204	18/312	1.386253504694819e-13	3.5919368588314634e-11	12.762049500651324	377.8460177014159	SRGN;PTPN1;IFITM1;IFITM2;RNH1;MT1;MANF;CCND3;ZFP36;ZEB2;CFL1;NINJ1;LY6A;TGFBI;PABPC1;CRELD2;TMEM106A;LGMN
10	Gene_Perturbations_from_GEO_up	Aqp11 Deficiency mouse GSE10634 sample 605	18/315	1.6326018411191818e-13	3.652060164797646e-11	12.631205673758863	371.9060357988693	EIF5A;IFITM1;IFITM2;RNH1;NEAT1;PDIA6;MANF;LDHA;PSMB5;CFL1;MYADM;TXNIP;PMAIP1;TGFBI;CALR;PABPC1;CRELD2;C1QC
