cell_type	positive_spots	weight_threshold	mean_distance_to_tumor	null_mean_distance	distance_ratio	binary_permutation_p	spearman_like_corr	corr_permutation_p	called
B_Cell	239	0.293861	332.569	253.289	1.313	1	-0.256492	1	0
Endothelial	238	0.298189	337.255	253.513	1.33033	1	-0.209895	1	0
Fibroblast_Stroma	326	0.381142	162.489	253.56	0.640829	0.001	0.338396	0.002	1
Macrophage	227	0.277574	213.331	253.292	0.842235	0.001	0.101869	0.002	1
T_Cell	230	0.304616	331.141	254.128	1.30305	1	-0.214409	1	0

metadata_type_col	cell_type
sc_counts_orientation	cells_by_genes
n_sc_genes	1000
n_cells	1200
n_spots_valid	900
n_marker_genes_used	360
tumor_type	Tumor_Core
tumor_spots	65
tumor_threshold	0.280352
marker_count_B_Cell	60
marker_count_Endothelial	60
marker_count_Fibroblast_Stroma	60
marker_count_Macrophage	60
marker_count_T_Cell	60
marker_count_Tumor_Core	60
