pair_id	guide_id	condition	replicate	rna_count
EP1	g1	control	1	1042
EP1	g1	control	2	931
EP1	g1	control	3	856
EP1	g1	perturbed	1	1214
EP1	g1	perturbed	2	1153
EP1	g1	perturbed	3	1258
EP1	g2	control	1	767
EP1	g2	control	2	805
EP1	g2	control	3	740
EP1	g2	perturbed	1	974
EP1	g2	perturbed	2	1047
EP1	g2	perturbed	3	983
EP1	g3	control	1	807
EP1	g3	control	2	753
EP1	g3	control	3	990
EP1	g3	perturbed	1	1053
EP1	g3	perturbed	2	987
EP1	g3	perturbed	3	1278
EP1	g4	control	1	875
EP1	g4	control	2	1023
EP1	g4	control	3	950
EP1	g4	perturbed	1	1133
EP1	g4	perturbed	2	1347
EP1	g4	perturbed	3	1198
EP2	g1	control	1	1602
EP2	g1	control	2	1161
EP2	g1	control	3	1255
EP2	g1	perturbed	1	573
EP2	g1	perturbed	2	588
EP2	g1	perturbed	3	584
EP2	g2	control	1	1425
EP2	g2	control	2	1337
EP2	g2	control	3	1462
EP2	g2	perturbed	1	608
EP2	g2	perturbed	2	541
EP2	g2	perturbed	3	595
EP2	g3	control	1	1280
EP2	g3	control	2	1458
EP2	g3	control	3	1201
EP2	g3	perturbed	1	575
EP2	g3	perturbed	2	576
EP2	g3	perturbed	3	637
EP2	g4	control	1	1272
EP2	g4	control	2	1199
EP2	g4	control	3	1430
EP2	g4	perturbed	1	544
EP2	g4	perturbed	2	575
EP2	g4	perturbed	3	479
EP3	g1	control	1	948
EP3	g1	control	2	890
EP3	g1	control	3	950
EP3	g1	perturbed	1	917
EP3	g1	perturbed	2	908
EP3	g1	perturbed	3	972
EP3	g2	control	1	1046
EP3	g2	control	2	1007
EP3	g2	control	3	983
EP3	g2	perturbed	1	1023
EP3	g2	perturbed	2	978
EP3	g2	perturbed	3	1014
EP3	g3	control	1	1004
EP3	g3	control	2	961
EP3	g3	control	3	944
EP3	g3	perturbed	1	457
EP3	g3	perturbed	2	491
EP3	g3	perturbed	3	431
EP3	g4	control	1	958
EP3	g4	control	2	1039
EP3	g4	control	3	1013
EP3	g4	perturbed	1	983
EP3	g4	perturbed	2	1016
EP3	g4	perturbed	3	987
EP4	g1	control	1	795
EP4	g1	control	2	547
EP4	g1	control	3	722
EP4	g1	perturbed	1	447
EP4	g1	perturbed	2	357
EP4	g1	perturbed	3	402
EP4	g2	control	1	628
EP4	g2	control	2	799
EP4	g2	control	3	677
EP4	g2	perturbed	1	441
EP4	g2	perturbed	2	389
EP4	g2	perturbed	3	452
EP4	g3	control	1	732
EP4	g3	control	2	810
EP4	g3	control	3	656
EP4	g3	perturbed	1	433
EP4	g3	perturbed	2	396
EP4	g3	perturbed	3	419
EP4	g4	control	1	646
EP4	g4	control	2	729
EP4	g4	control	3	773
EP4	g4	perturbed	1	341
EP4	g4	perturbed	2	384
EP4	g4	perturbed	3	399
EP5	g1	control	1	1018
EP5	g1	control	2	1046
EP5	g1	control	3	873
EP5	g1	perturbed	1	723
EP5	g1	perturbed	2	738
EP5	g1	perturbed	3	684
EP5	g2	control	1	1096
EP5	g2	control	2	1046
EP5	g2	control	3	1126
EP5	g2	perturbed	1	782
EP5	g2	perturbed	2	753
EP5	g2	perturbed	3	807
EP5	g3	control	1	1224
EP5	g3	control	2	951
EP5	g3	control	3	996
EP5	g3	perturbed	1	847
EP5	g3	perturbed	2	703
EP5	g3	perturbed	3	734
EP5	g4	control	1	948
EP5	g4	control	2	985
EP5	g4	control	3	1033
EP5	g4	perturbed	1	683
EP5	g4	perturbed	2	712
EP5	g4	perturbed	3	748
EP6	g1	control	1	526
EP6	g1	control	2	681
EP6	g1	control	3	623
EP6	g1	perturbed	1	477
EP6	g1	perturbed	2	533
EP6	g1	perturbed	3	508
EP6	g2	control	1	654
EP6	g2	control	2	619
EP6	g2	control	3	702
EP6	g2	perturbed	1	562
EP6	g2	perturbed	2	521
EP6	g2	perturbed	3	568
EP6	g3	control	1	645
EP6	g3	control	2	818
EP6	g3	control	3	570
EP6	g3	perturbed	1	593
EP6	g3	perturbed	2	671
EP6	g3	perturbed	3	478
EP6	g4	control	1	759
EP6	g4	control	2	621
EP6	g4	control	3	640
EP6	g4	perturbed	1	608
EP6	g4	perturbed	2	543
EP6	g4	perturbed	3	548
EP7	g1	control	1	1339
EP7	g1	control	2	1166
EP7	g1	control	3	1198
EP7	g1	perturbed	1	653
EP7	g1	perturbed	2	712
EP7	g1	perturbed	3	678
EP7	g2	control	1	1203
EP7	g2	control	2	1164
EP7	g2	control	3	1100
EP7	g2	perturbed	1	932
EP7	g2	perturbed	2	971
EP7	g2	perturbed	3	943
EP7	g3	control	1	1488
EP7	g3	control	2	890
EP7	g3	control	3	1199
EP7	g3	perturbed	1	753
EP7	g3	perturbed	2	814
EP7	g3	perturbed	3	762
EP7	g4	control	1	1179
EP7	g4	control	2	1055
EP7	g4	control	3	1178
EP7	g4	perturbed	1	834
EP7	g4	perturbed	2	878
EP7	g4	perturbed	3	847
