GroupBy(pair_id)	GroupBy(condition)	mean(rna_count)
EP1	control	943
EP1	perturbed	1208.3333333333
EP1	control	770.66666666667
EP1	perturbed	1001.3333333333
EP1	control	850
EP1	perturbed	1106
EP1	control	949.33333333333
EP1	perturbed	1226
EP2	control	1339.3333333333
EP2	perturbed	581.66666666667
EP2	control	1408
EP2	perturbed	581.33333333333
EP2	control	1313
EP2	perturbed	596
EP2	control	1300.3333333333
EP2	perturbed	532.66666666667
EP3	control	929.33333333333
EP3	perturbed	932.33333333333
EP3	control	1012
EP3	perturbed	1005
EP3	control	969.66666666667
EP3	perturbed	459.66666666667
EP3	control	1003.3333333333
EP3	perturbed	995.33333333333
EP4	control	688
EP4	perturbed	402
EP4	control	701.33333333333
EP4	perturbed	427.33333333333
EP4	control	732.66666666667
EP4	perturbed	416
EP4	control	716
EP4	perturbed	374.66666666667
EP5	control	979
EP5	perturbed	715
EP5	control	1089.3333333333
EP5	perturbed	780.66666666667
EP5	control	1057
EP5	perturbed	761.33333333333
EP5	control	988.66666666667
EP5	perturbed	714.33333333333
EP6	control	610
EP6	perturbed	506
EP6	control	658.33333333333
EP6	perturbed	550.33333333333
EP6	control	677.66666666667
EP6	perturbed	580.66666666667
EP6	control	673.33333333333
EP6	perturbed	566.33333333333
EP7	control	1234.3333333333
EP7	perturbed	681
EP7	control	1155.6666666667
EP7	perturbed	948.66666666667
EP7	control	1192.3333333333
EP7	perturbed	776.33333333333
EP7	control	1137.3333333333
EP7	perturbed	853
