filename	parsimony_informative_sites	total_sites	percentage
1001705at2759.faa	20	596	3.3557
1003258at2759.faa	21	1071	1.9608
100698at2759.faa	34	954	3.5639
1010730at2759.faa	23	650	3.5385
1014314at2759.faa	17	455	3.7363
1018517at2759.faa	24	345	6.9565
1019762at2759.faa	25	918	2.7233
1025450at2759.faa	27	594	4.5455
1030907at2759.faa	9	421	2.1378
1032689at2759.faa	21	688	3.0523
1038775at2759.faa	0	384	0.0
1041560at2759.faa	27	666	4.0541
1049599at2759.faa	0	551	0.0
1051021at2759.faa	17	891	1.908
1053181at2759.faa	0	374	0.0
1057950at2759.faa	16	395	4.0506
1065019at2759.faa	25	430	5.814
1076134at2759.faa	14	345	4.058
1079130at2759.faa	33	563	5.8615
1079827at2759.faa	21	264	7.9545
1085752at2759.faa	0	621	0.0
1087488at2759.faa	25	567	4.4092
1090038at2759.faa	0	556	0.0
1094121at2759.faa	10	251	3.9841
1096688at2759.faa	14	481	2.9106
1106766at2759.faa	0	745	0.0
1107630at2759.faa	17	520	3.2692
1108845at2759.faa	0	501	0.0
1111142at2759.faa	0	800	0.0
1112002at2759.faa	51	1213	4.2045
1115196at2759.faa	26	566	4.5936
1128607at2759.faa	25	366	6.8306
1129824at2759.faa	16	326	4.908
1138059at2759.faa	14	317	4.4164
1157302at2759.faa	15	247	6.0729
1161199at2759.faa	16	358	4.4693
1173229at2759.faa	0	597	0.0
1178688at2759.faa	12	229	5.2402
1182451at2759.faa	19	477	3.9832
1193442at2759.faa	29	567	5.1146
1194691at2759.faa	27	512	5.2734
1194797at2759.faa	47	826	5.6901
1197019at2759.faa	15	254	5.9055
1200489at2759.faa	7	318	2.2013
1217666at2759.faa	20	324	6.1728
1220881at2759.faa	16	514	3.1128
1222562at2759.faa	12	505	2.3762
1223488at2759.faa	13	291	4.4674
1228942at2759.faa	24	278	8.6331
1233814at2759.faa	9	334	2.6946
1236198at2759.faa	5	159	3.1447
1247641at2759.faa	28	874	3.2037
1248958at2759.faa	52	1013	5.1333
1249159at2759.faa	15	248	6.0484
1251252at2759.faa	6	448	1.3393
1257440at2759.faa	12	230	5.2174
1258856at2759.faa	59	1054	5.5977
1259741at2759.faa	20	524	3.8168
1260807at2759.faa	15	1625	0.9231
1264469at2759.faa	20	419	4.7733
1266231at2759.faa	0	396	0.0
1269244at2759.faa	9	320	2.8125
1269649at2759.faa	11	320	3.4375
1275837at2759.faa	28	364	7.6923
1284731at2759.faa	12	309	3.8835
1287094at2759.faa	14	244	5.7377
1287401at2759.faa	0	374	0.0
1291729at2759.faa	11	233	4.721
1304061at2759.faa	9	282	3.1915
1309031at2759.faa	34	1053	3.2289
1312453at2759.faa	73	2093	3.4878
1314980at2759.faa	0	1110	0.0
1322299at2759.faa	23	722	3.1856
1322642at2759.faa	0	908	0.0
1323575at2759.faa	10	236	4.2373
1324510at2759.faa	23	660	3.4848
1338131at2759.faa	13	203	6.4039
1339553at2759.faa	20	559	3.5778
1342242at2759.faa	15	549	2.7322
1346165at2759.faa	20	614	3.2573
1346432at2759.faa	15	365	4.1096
1348942at2759.faa	16	482	3.3195
1355894at2759.faa	11	214	5.1402
1358374at2759.faa	11	401	2.7431
