key	url	localized_path	bytes	sha256
ref_fa	https://www.encodeproject.org/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/@@download/GRCh38_no_alt_analysis_set_GCA_000001405.15.fasta.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/ref_fa.fasta.gz	872949833	fb4243ebb014caf27111f24dd62b7ce42160f28581da6f8fcd6cba5977778d02
ref_mito_fa	https://www.encodeproject.org/files/GRCh38_no_alt_analysis_set_GCA_000001405.15_mito_only/@@download/GRCh38_no_alt_analysis_set_GCA_000001405.15_mito_only.fasta.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/ref_mito_fa.fasta.gz	5331	2484bbb2f64bf70293ed029b1d0c48e998ab6aab17f0bfa53389fb27934460ef
blacklist	https://www.encodeproject.org/files/ENCFF356LFX/@@download/ENCFF356LFX.bed.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/blacklist.bed.gz	8211	a9d086ce90ca67f933b29adfbff56ea768bbce2ec4b0d51e2d405e5a1d61bb56
chrsz	https://www.encodeproject.org/files/GRCh38_EBV.chrom.sizes/@@download/GRCh38_EBV.chrom.sizes.tsv	/jetstream2/scratch/main/jobs/79115957/working/reference/chrsz.tsv	11686	a7e696e9a766897c646d914e12d19947b71a5044017678ff3dfd4c699c0c95be
bowtie2_idx_tar	https://www.encodeproject.org/files/ENCFF110MCL/@@download/ENCFF110MCL.tar.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/bowtie2_idx_tar.tar.gz	3749246230	734e54234fcbd5e87306e94f68e6a9bf199e8a15ef92a420facbd33589d17518
bowtie2_mito_idx_tar	https://www.encodeproject.org/files/GRCh38_no_alt_analysis_set_GCA_000001405.15_mito_only_bowtie2_index/@@download/GRCh38_no_alt_analysis_set_GCA_000001405.15_mito_only_bowtie2_index.tar.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/bowtie2_mito_idx_tar.tar.gz	109431	1ac08b5bf20a55f846416591470f073c01bfef8e59a3bdd230ff2f89c5dcdfde
bwa_idx_tar	https://www.encodeproject.org/files/ENCFF643CGH/@@download/ENCFF643CGH.tar.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/bwa_idx_tar.tar.gz	4318261891	0a29faeb8516b941ab10cd2a9e91071445973e155f6d3751e192158b31d9f2db
bwa_mito_idx_tar	https://www.encodeproject.org/files/GRCh38_no_alt_analysis_set_GCA_000001405.15_mito_only_bwa_index/@@download/GRCh38_no_alt_analysis_set_GCA_000001405.15_mito_only_bwa_index.tar.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/bwa_mito_idx_tar.tar.gz	18687	aa4c2027ff11e017685bfef3773bddf0499385c430f01cd1dd88b53eec24d32e
tss	https://www.encodeproject.org/files/ENCFF766FGL/@@download/ENCFF766FGL.bed.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/tss.bed.gz	241212	ae13dedbcb5141d9737a5e03db9ac781ef1d8dfa5fe8e7666f5a1714d506fc29
dnase	https://www.encodeproject.org/files/ENCFF304XEX/@@download/ENCFF304XEX.bed.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/dnase.bed.gz	14377496	aa40987b2e943f4a253c96ddeb55813444eb738d1cc9819d0722aa16b5349d7b
prom	https://www.encodeproject.org/files/ENCFF140XLU/@@download/ENCFF140XLU.bed.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/prom.bed.gz	666169	b7f08e8959847aa2f518a69fefe1425c2be5b3b2c31eb6734cf46a9bf8e217a7
enh	https://www.encodeproject.org/files/ENCFF212UAV/@@download/ENCFF212UAV.bed.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/enh.bed.gz	18381891	b70b384fd9279fe70b3657432bc9c8d7c43aab4b4110bdc88b68f07925724e7b
reg2map	https://storage.googleapis.com/encode-pipeline-genome-data/hg38/ataqc/hg38_dnase_avg_fseq_signal_formatted.txt.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/reg2map.txt.gz	54763968	6346260df4d6d0342eae6876680d2196bcc4ed5b11d9e3fb594fa37587a9e61b
reg2map_bed	https://storage.googleapis.com/encode-pipeline-genome-data/hg38/ataqc/hg38_celltype_compare_subsample.bed.gz	/jetstream2/scratch/main/jobs/79115957/working/reference/reg2map_bed.bed.gz	1162186	523e76d4045114f3abf7beb6986c20a2dc7e3a3ec7a1a106b86694b5dcd57bd8
roadmap_meta	https://storage.googleapis.com/encode-pipeline-genome-data/hg38/ataqc/hg38_dnase_avg_fseq_signal_metadata.txt	/jetstream2/scratch/main/jobs/79115957/working/reference/roadmap_meta.txt	5869	a8b3e6aa28b955a4df6a0a8480b1edac2692a923bf9d0736008546feafe3f7d3
