sensory	Neurog1	301	168
sensory	Neurog2	44245	6474
sensory	Neurod1	5767	1922
sensory	Neurod4	2629	1494
sensory	Pou4f1	5024	1686
sensory	Tlx3	5418	1758
sensory	Runx1	27	27
sensory	Runx3	6	5
sensory	Prrxl1	454	301
sensory	Ntrk1	1860	885
sensory	Ntrk2	282	157
sensory	Ntrk3	1276	925
sensory	Ret	549	339
sensory	Isl1	2652	986
sensory	Isl2	447	194
sensory	Prdm12	9	8
sensory	Scn9a	1299	646
sensory	Scn10a	1	1
sensory	Scn11a	0	0
sensory	Calca	96	87
sensory	Tac1	41	33
sensory	Mrgprd	0	0
sympathetic	Phox2a	75	62
sympathetic	Phox2b	1551	531
sympathetic	Hand1	0	0
sympathetic	Hand2	28	18
sympathetic	Ascl1	372	297
sympathetic	Gata3	1759	858
sympathetic	Th	51	47
sympathetic	Dbh	14	10
sympathetic	Slc18a3	286	254
sympathetic	Chat	12	12
sympathetic	Elavl3	35997	5676
sympathetic	Insm1	4043	2090
sympathetic	Gfra3	57	46
motor	Mnx1	15	15
motor	Lhx3	212	140
motor	Foxp1	6846	3140
motor	Tubb3	168058	15230
otic	Atoh1	15	13
otic	Pou4f3	50	38
otic	Gfi1	1	1
otic	Barhl1	19	15
otic	Sox2	2661	1478
otic	Sox10	32	27
otic	Pax2	143	92
otic	Pax8	0	0
otic	Eya1	1267	888
otic	Six1	509	292
other_neural	Onecut1	941	741
other_neural	Onecut2	60413	8116
other_neural	Onecut3	1052	569
other_neural	Ebf1	67917	7779
other_neural	Ebf2	14036	3799
other_neural	Ebf3	9067	3140
other_neural	Tlx1	47	41
other_neural	Tlx2	21	12
other_neural	Gata2	308	154
other_neural	Prdm8	91	86
