retina	Rax	34	23
retina	Vsx2	48	23
retina	Pax6	1523	760
retina	Atoh7	1	1
retina	Otx2	2071	1064
retina	Crx	2	2
retina	Pou4f2	119	100
retina	Pou4f1	5024	1686
retina	Isl1	2652	986
retina	Dlx1	106	67
retina	Dlx2	150	102
retina	Six3	392	201
retina	Six6	4	4
retina	Meis2	7367	2662
retina	Foxn4	77	34
retina	Ptf1a	2	2
retina	Prdm1	50	47
retina	Thrb	65	62
retina	Rxrg	38	37
retina	Rlbp1	26	15
retina	Slc1a3	226	177
retina	Rho	2	2
retina	Nrl	107	95
retina	Prph2	0	0
retina	Gnat1	7	7
retina	Opn1sw	1	1
retina	Opn1mw	3	3
retina	Tfap2a	86	71
retina	Tfap2b	6593	1594
retina	Prox1	2156	1541
spinal	Hoxb1	1	1
spinal	Hoxb2	5	5
spinal	Hoxb3	0	0
spinal	Hoxb4	0	0
spinal	Hoxb5	3	3
spinal	Hoxb6	0	0
spinal	Hoxb7	12	12
spinal	Hoxb8	6	6
spinal	Hoxb9	0	0
spinal	Hoxc4	6	6
spinal	Hoxc5	1	1
spinal	Hoxc6	0	0
spinal	Hoxc8	0	0
spinal	Hoxc9	5	5
spinal	Hoxc10	1	1
spinal	Hoxd8	2	2
spinal	Hoxd9	2	2
spinal	Hoxd10	0	0
spinal	Mnx1	15	15
spinal	Olig2	899	603
spinal	Nkx6-1	1437	623
spinal	Nkx6-2	165	125
spinal	Lhx3	212	140
spinal	Lhx1	1518	806
spinal	Lhx2	3354	1446
spinal	Foxa2	12	5
spinal	Shh	3	3
spinal	Dbx1	548	200
spinal	Dbx2	519	428
spinal	Nkx2-2	328	193
spinal	Irx3	3715	1806
spinal	Evx1	17	16
spinal	Vsx2	48	23
spinal	Prrxl1	454	301
spinal	Tlx3	5418	1758
spinal	Gata2	308	154
spinal	Gata3	1759	858
brain	Foxg1	348	202
brain	Emx1	30	28
brain	Emx2	117	96
brain	Tbr1	5	5
brain	Eomes	39	23
brain	Satb2	172	165
brain	Bcl11b	45	37
brain	Fezf2	708	356
brain	Lhx2	3354	1446
brain	Dcx	18994	4745
brain	Reln	407	335
brain	Tbr2	missing	missing
brain	Gsx2	27	27
brain	Dlx5	6	4
brain	Dlx6	2	2
brain	Nkx2-1	1	1
retinal_ganglion	Ebf1	67917	7779
retinal_ganglion	Ebf3	9067	3140
retinal_ganglion	Pou4f1	5024	1686
retinal_ganglion	Pou4f2	119	100
retinal_ganglion	Pou4f3	50	38
retinal_ganglion	Isl1	2652	986
retinal_ganglion	Isl2	447	194
retinal_ganglion	Rbpms	660	553
retinal_ganglion	Slc17a6	1942	961
retinal_ganglion	Sncg	5725	1745
retinal_ganglion	Elavl4	29210	5822
retinal_ganglion	Onecut1	941	741
retinal_ganglion	Onecut2	60413	8116
retinal_ganglion	Atoh7	1	1
retinal_ganglion	Klf7	21068	4473
