## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --TAGGING_POLICY All --INPUT Filter_BAM_on_dataset_32__Filtered_BAM --OUTPUT /jetstream2/scratch/main/jobs/79427402/outputs/dataset_4803bccc-3d9c-4921-bee1-6b63a4ec7a5d.dat --METRICS_FILE /jetstream2/scratch/main/jobs/79427402/outputs/dataset_28a67e12-8c25-4900-87ba-3e570730874f.dat --REMOVE_DUPLICATES true --ASSUME_SORTED true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --VERBOSITY ERROR --QUIET true --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Aug 29 03:48:28 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	16353729	0	0	0	4134291	0	0.252804	26626328

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	9002690	9002690
2.0	1.541077	2547541	2547541
3.0	1.833841	552041	552041
4.0	1.992249	97830	97830
5.0	2.07796	15044	15044
6.0	2.124336	2212	2212
7.0	2.149429	399	399
8.0	2.163006	135	135
9.0	2.170353	98	98
10.0	2.174328	79	79
11.0	2.176478	68	68
12.0	2.177642	65	65
13.0	2.178272	48	48
14.0	2.178612	52	52
15.0	2.178797	44	44
16.0	2.178897	33	33
17.0	2.17895	31	31
18.0	2.17898	28	28
19.0	2.178995	19	19
20.0	2.179004	23	23
21.0	2.179009	24	24
22.0	2.179011	27	27
23.0	2.179013	28	28
24.0	2.179013	24	24
25.0	2.179014	20	20
26.0	2.179014	10	10
27.0	2.179014	21	21
28.0	2.179014	20	20
29.0	2.179014	18	18
30.0	2.179014	24	24
31.0	2.179014	20	20
32.0	2.179014	12	12
33.0	2.179014	15	15
34.0	2.179014	11	11
35.0	2.179014	13	13
36.0	2.179014	2	2
37.0	2.179014	12	12
38.0	2.179014	9	9
39.0	2.179014	9	9
40.0	2.179014	8	8
41.0	2.179014	11	11
42.0	2.179014	10	10
43.0	2.179014	13	13
44.0	2.179014	15	15
45.0	2.179014	7	7
46.0	2.179014	12	12
47.0	2.179014	10	10
48.0	2.179014	11	11
49.0	2.179014	7	7
50.0	2.179014	6	6
51.0	2.179014	6	6
52.0	2.179014	7	7
53.0	2.179014	11	11
54.0	2.179014	3	3
55.0	2.179014	12	12
56.0	2.179014	6	6
57.0	2.179014	11	11
58.0	2.179014	3	3
59.0	2.179014	6	6
60.0	2.179014	8	8
61.0	2.179014	6	6
62.0	2.179014	5	5
63.0	2.179014	7	7
64.0	2.179014	3	3
65.0	2.179014	8	8
66.0	2.179014	4	4
67.0	2.179014	7	7
68.0	2.179014	3	3
69.0	2.179014	7	7
70.0	2.179014	6	6
71.0	2.179014	3	3
72.0	2.179014	6	6
73.0	2.179014	2	2
74.0	2.179014	6	6
75.0	2.179014	1	1
76.0	2.179014	2	2
77.0	2.179014	2	2
78.0	2.179014	4	4
79.0	2.179014	4	4
80.0	2.179014	7	7
81.0	2.179014	4	4
82.0	2.179014	6	6
83.0	2.179014	2	2
84.0	2.179014	2	2
85.0	2.179014	8	8
86.0	2.179014	5	5
87.0	2.179014	5	5
88.0	2.179014	5	5
89.0	2.179014	3	3
90.0	2.179014	4	4
91.0	2.179014	5	5
92.0	2.179014	3	3
93.0	2.179014	1	1
