analysis	window_bp_each_side	omitted_marker	identity_score	best_alternative_swap	alternative_improvement	modules_best_on_diagonal
full	10000	None	17.355395	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	GRIK1	17.483421	Astrocyte,Mullerglia	-1.935920	9
leave_one_marker_out	10000	GRIK2	17.129262	AIIamacrine,GABAamacrine	-1.738080	8
leave_one_marker_out	10000	SLC6A9	17.567838	AIIamacrine,GABAamacrine	-1.665201	8
leave_one_marker_out	10000	GLRA1	17.319812	AIIamacrine,GABAamacrine	-1.928207	9
leave_one_marker_out	10000	PROX1	17.276641	AIIamacrine,GABAamacrine	-1.576908	8
leave_one_marker_out	10000	GFAP	17.316412	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	AQP4	17.423628	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	ALDH1L1	17.447773	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	GJA1	17.258625	Astrocyte,Mullerglia	-1.647132	8
leave_one_marker_out	10000	ACSBG1	17.285847	Astrocyte,Mullerglia	-1.751481	8
leave_one_marker_out	10000	S100B	17.400083	Astrocyte,Mullerglia	-1.769883	8
leave_one_marker_out	10000	ARR3	17.310289	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	GNAT2	17.385860	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	PDE6C	17.326127	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	PDE6H	17.379945	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	GUCA1C	17.398642	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	CNGA3	17.331506	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	GAD1	17.332824	AIIamacrine,GABAamacrine	-1.568031	8
leave_one_marker_out	10000	GAD2	17.188121	AIIamacrine,GABAamacrine	-1.600956	8
leave_one_marker_out	10000	SLC32A1	17.372163	Astrocyte,Mullerglia	-1.935920	8
leave_one_marker_out	10000	SLC6A1	17.427659	Astrocyte,Mullerglia	-1.935920	8
leave_one_marker_out	10000	ERBB4	17.456206	AIIamacrine,GABAamacrine	-1.756538	8
leave_one_marker_out	10000	LHX1	17.508788	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	ONECUT1	17.368484	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	ONECUT2	17.377322	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	GJA10	17.166986	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	P2RY12	17.387015	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	TMEM119	17.415299	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	CX3CR1	17.346084	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	C1QC	17.416411	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	TYROBP	17.347925	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	CSF1R	17.271277	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	LST1	17.303752	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	RLBP1	17.246127	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	GLUL	17.404098	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	SLC1A3	17.373109	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	CRYAB	17.324131	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	VIM	17.429509	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	RBPMS	17.401622	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	POU4F1	17.299153	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	POU4F2	17.297865	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	THY1	17.473297	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	NEFL	17.319792	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	NEFM	17.422955	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	SLC17A6	17.287865	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	ISL1	17.340609	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	RHO	17.338168	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	NRL	17.403194	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	NR2E3	17.320423	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	GNAT1	17.374050	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	PDE6A	17.350794	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	PDE6B	17.340245	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	CNGA1	17.363746	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	SAG	17.345790	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	GNGT1	17.320855	AIIamacrine,GABAamacrine	-1.808943	8
leave_one_marker_out	10000	ABCA4	17.396681	AIIamacrine,GABAamacrine	-1.808943	8
full	20000	None	17.548198	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	GRIK1	17.685541	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	GRIK2	17.344966	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	SLC6A9	17.703334	AIIamacrine,GABAamacrine	-1.881292	8
leave_one_marker_out	20000	GLRA1	17.513152	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	PROX1	17.493997	AIIamacrine,GABAamacrine	-1.888959	9
leave_one_marker_out	20000	GFAP	17.560986	Astrocyte,Mullerglia	-1.995463	9
leave_one_marker_out	20000	AQP4	17.602876	AIIamacrine,GABAamacrine	-2.077936	9
leave_one_marker_out	20000	ALDH1L1	17.635990	AIIamacrine,GABAamacrine	-2.077936	9
leave_one_marker_out	20000	GJA1	17.460714	Astrocyte,Mullerglia	-1.642341	9
leave_one_marker_out	20000	ACSBG1	17.450245	Astrocyte,Mullerglia	-1.680758	9
leave_one_marker_out	20000	S100B	17.578376	Astrocyte,Mullerglia	-1.897513	9
leave_one_marker_out	20000	ARR3	17.509091	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	GNAT2	17.541298	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	PDE6C	17.522125	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	PDE6H	17.584120	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	GUCA1C	17.611414	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	CNGA3	17.521139	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	GAD1	17.495387	AIIamacrine,GABAamacrine	-1.832241	9
leave_one_marker_out	20000	GAD2	17.393940	AIIamacrine,GABAamacrine	-1.898142	9
leave_one_marker_out	20000	SLC32A1	17.593370	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	SLC6A1	17.608694	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	ERBB4	17.649598	Astrocyte,Mullerglia	-1.952810	9
