rank	label_a	label_b	improvement_over_identity	assignment_score	identity_score
1	AIIamacrine	GABAamacrine	-1.104218	13.424504	14.528721
2	Astrocyte	Mullerglia	-1.325346	13.203376	14.528721
3	AIIamacrine	Horizontal	-1.638513	12.890208	14.528721
4	GABAamacrine	Mullerglia	-2.155687	12.373034	14.528721
5	Astrocyte	GABAamacrine	-2.316296	12.212426	14.528721
6	GABAamacrine	Horizontal	-2.383748	12.144974	14.528721
7	AIIamacrine	Retinalganglioncell	-2.733917	11.794804	14.528721
8	Microglia	Mullerglia	-2.761467	11.767255	14.528721
9	AIIamacrine	Microglia	-2.800208	11.728514	14.528721
10	AIIamacrine	Mullerglia	-2.844799	11.683922	14.528721
11	GABAamacrine	Microglia	-3.061517	11.467204	14.528721
12	Horizontal	Retinalganglioncell	-3.229342	11.299380	14.528721
13	Horizontal	Mullerglia	-3.281412	11.247310	14.528721
14	AIIamacrine	Astrocyte	-3.294915	11.233807	14.528721
15	AIIamacrine	Cone	-3.363036	11.165685	14.528721
16	Horizontal	Microglia	-3.463691	11.065031	14.528721
17	Cone	GABAamacrine	-3.502191	11.026531	14.528721
18	AIIamacrine	Rod	-3.777848	10.750873	14.528721
19	GABAamacrine	Retinalganglioncell	-3.859762	10.668960	14.528721
20	Mullerglia	Retinalganglioncell	-3.887603	10.641119	14.528721
21	Microglia	Rod	-4.042112	10.486610	14.528721
22	Astrocyte	Retinalganglioncell	-4.051001	10.477721	14.528721
23	Astrocyte	Microglia	-4.053687	10.475034	14.528721
24	Mullerglia	Rod	-4.069796	10.458925	14.528721
25	Cone	Horizontal	-4.160429	10.368292	14.528721
26	Astrocyte	Horizontal	-4.176004	10.352717	14.528721
27	Astrocyte	Rod	-4.188646	10.340075	14.528721
28	Cone	Microglia	-4.606199	9.922522	14.528721
29	Cone	Mullerglia	-4.627587	9.901134	14.528721
30	Cone	Rod	-4.663976	9.864746	14.528721
31	GABAamacrine	Rod	-4.691720	9.837001	14.528721
32	Microglia	Retinalganglioncell	-5.019210	9.509511	14.528721
33	Astrocyte	Cone	-5.067937	9.460784	14.528721
34	Cone	Retinalganglioncell	-5.119937	9.408784	14.528721
35	Horizontal	Rod	-5.248893	9.279828	14.528721
36	Retinalganglioncell	Rod	-6.185843	8.342878	14.528721
