field	value
strong_positive_count	3
rho_threshold	0.6
method	spearman
essentiality_coordinate	-CRISPRGeneEffect
model_filter	ModelType == Cell Line
id_alignment	ModelID intersection
feature_pairing	exact shared gene labels
min_pairs	3
model_cell_line_count	2081
crispr_total_rows	1178
crispr_cell_line_rows	1178
expression_total_rows	1673
expression_cell_line_rows	1673
paired_cell_line_rows	1103
common_features	17676
tested_features	17676
not_tested_low_pairs_or_constant	0
max_rho	0.6288254699057503
max_rho_gene	CCND1 (595)
