GroupBy(pair_id)	GroupBy(condition)	mean(rna_count)	sstdev(rna_count)
EP1	control	878.25	107.15759422458
EP1	perturbed	1135.4166666667	126.65447509112
EP2	control	1340.1666666667	134.66377884692
EP2	perturbed	572.91666666667	39.160412137615
EP3	control	978.58333333333	45.106859654367
EP3	perturbed	848.08333333333	237.1817325226
EP4	control	709.5	80.61975846246
EP4	perturbed	405	34.996103679228
EP5	control	1028.5	91.770959954166
EP5	perturbed	742.83333333333	49.272587498404
EP6	control	654.83333333333	78.588494801412
EP6	perturbed	550.83333333333	55.410588639116
EP7	control	1179.9166666667	143.95103860393
EP7	perturbed	814.75	105.32989302015
