rank	tf	gained_hits	gained_n	gained_rate	background_hits	background_n	background_rate	lost_hits	lost_n	lost_rate	odds_ratio	fisher_p	mean_gained_score	mean_background_score	mean_lost_score
1	TCF7	533	600	0.888333	324	599	0.540902	449	600	0.748333	6.71023	1.70122e-42	0.90092	0.857677	0.880747
2	FOXA1	325	600	0.541667	138	599	0.230384	268	600	0.446667	3.93687	4.53238e-29	0.858035	0.802858	0.847993
3	GATA3	296	600	0.493333	147	599	0.245409	223	600	0.371667	2.9872	2.86551e-19	0.851778	0.810926	0.836318
4	PAX7	110	600	0.183333	35	599	0.0584307	36	600	0.06	3.58227	1.19579e-11	0.798901	0.722293	0.753327
5	RUNX1	570	600	0.95	556	599	0.928214	588	600	0.98	1.46211	0.0723842	0.904393	0.894244	0.921073
6	SPI1	70	600	0.116667	64	599	0.106845	88	600	0.146667	1.10333	0.327126	0.795016	0.788519	0.798232
7	ASCL1	539	600	0.898333	587	599	0.979967	593	600	0.988333	0.186646	1	0.907077	0.923954	0.93448
8	TFAP2A	427	600	0.711667	579	599	0.966611	569	600	0.948333	0.087164	1	0.878808	0.931636	0.914837
9	KLF4	392	600	0.653333	519	599	0.866444	367	600	0.611667	0.291705	1	0.892596	0.924822	0.880151
10	REST	0	600	0	3	599	0.00500835	3	600	0.005	0.141906	1	0.695675	0.721291	0.720607
