rank	tf	gained_hits	gained_n	gained_rate	background_hits	background_n	background_rate	lost_hits	lost_n	lost_rate	odds_ratio	fisher_p	mean_gained_score	mean_background_score	mean_lost_score
1	FOXA1	336	600	0.56	224	600	0.373333	265	600	0.441667	2.13358	5.91925e-11	0.861003	0.837296	0.847552
2	TCF7	539	600	0.898333	473	600	0.788333	452	600	0.753333	2.36214	9.63985e-08	0.902299	0.887916	0.881174
3	GATA3	303	600	0.505	218	600	0.363333	222	600	0.37	1.78588	4.77371e-07	0.853824	0.83859	0.8361
4	PAX7	110	600	0.183333	72	600	0.12	38	600	0.0633333	1.64222	0.00141517	0.80183	0.776366	0.753858
5	RUNX1	572	600	0.953333	569	600	0.948333	588	600	0.98	1.11109	0.39485	0.904531	0.9014	0.920829
6	SPI1	74	600	0.123333	76	600	0.126667	90	600	0.15	0.970157	0.603245	0.796512	0.795914	0.79817
7	KLF4	390	600	0.65	461	600	0.768333	370	600	0.616667	0.560753	0.999998	0.892545	0.902854	0.880388
8	ASCL1	538	600	0.896667	579	600	0.965	593	600	0.988333	0.319662	0.999999	0.907233	0.91635	0.934159
9	TFAP2A	425	600	0.708333	563	600	0.938333	568	600	0.946667	0.161347	1	0.878131	0.912121	0.914449
10	REST	0	600	0	0	600	0	3	600	0.005	1	1	0.695278	0.709503	0.720435
