feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.77468080086203472	0	0	true
column_3	18472	0.51598349008836586	0	0	true
column_4	18472	0.50161374514267754	0	0	true
column_5	18472	0.57422179824378827	0	0	true
column_6	18472	0.74968984714531528	0	0	true
column_7	18472	0.60948316876412933	0	0	true
column_8	18472	0.80958815119379046	0	0	true
column_9	18472	0.66299992708294087	0	0	true
column_10	18472	0.43981082054959414	0	0	true
column_11	18472	0.67845580213910384	0	0	true
column_12	18472	0.77097334262470696	0	0	true
column_13	18472	0.70025864422729767	0	0	true
