feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.69181704512209363	0	0	true
column_3	18472	0.67582531956120073	0	0	true
column_4	18472	0.64464731401077668	0	0	true
column_5	18472	0.62884053143431962	0	0	true
column_6	18472	0.60689697338457016	0	0	true
column_7	18472	0.44329903427794576	0	0	true
column_8	18472	0.83147494484961271	0	0	true
column_9	18472	0.6945031277692304	0	0	true
column_10	18472	0.42635584495918111	0	0	true
column_11	18472	0.81512942423016388	0	0	true
column_12	18472	0.75239025800125514	0	0	true
column_13	18472	0.89171309582021541	0	0	true
