feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.14319383392488766	3.3063370080774128e-85	3.9676044096928956e-85	true
column_3	18472	0.40391664621286349	0	0	true
column_4	18472	0.4734820151404136	0	0	true
column_5	18472	-0.29319560824280649	0	0	true
column_6	18472	-0.0055218151818315023	0.45299310628095768	0.45299310628095774	false
column_7	18472	0.20800721316179349	1.1290542547804214e-179	1.5054056730405619e-179	true
column_8	18472	0.5151492646041046	0	0	true
column_9	18472	0.26726621988753679	1.271767564935956e-299	2.1801729684616389e-299	true
column_10	18472	-0.046408933886467676	2.7814988191045453e-10	3.0343623481140496e-10	true
column_11	18472	0.25996973318280325	4.9895985848323773e-283	7.4843978772485659e-283	true
column_12	18472	0.52672520327338501	0	0	true
column_13	18472	0.53562307921392238	0	0	true
