feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.76802625241154454	0	0	true
column_3	18472	0.62947211460202002	0	0	true
column_4	18472	0.74268236278056521	0	0	true
column_5	18472	0.63525197096511132	0	0	true
column_6	18472	0.54548598579455287	0	0	true
column_7	18472	0.72345791816425153	0	0	true
column_8	18472	0.80897602773916666	0	0	true
column_9	18472	0.73665142477281687	0	0	true
column_10	18472	0.47373601937783116	0	0	true
column_11	18472	0.76596909032769556	0	0	true
column_12	18472	0.7822016340870257	0	0	true
column_13	18472	0.60716879086740583	0	0	true
