feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.55724631655822854	0	0	true
column_3	18472	0.71552687814389082	0	0	true
column_4	18472	0.6939363034614987	0	0	true
column_5	18472	0.74825600419783633	0	0	true
column_6	18472	0.77474192272353848	0	0	true
column_7	18472	0.63093650874921559	0	0	true
column_8	18472	0.82921940644107905	0	0	true
column_9	18472	0.73640411650287596	0	0	true
column_10	18472	0.45435723615259821	0	0	true
column_11	18472	0.76819050275620426	0	0	true
column_12	18472	0.79803802582062	0	0	true
column_13	18472	0.57955076371838743	0	0	true
