feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.48636421513267825	0	0	true
column_3	18472	0.52864035679225541	0	0	true
column_4	18472	0.50844256671779342	0	0	true
column_5	18472	0.087804343536506305	6.0453571355319417e-33	6.045357135531941e-33	true
column_6	18472	0.48550637204764191	0	0	true
column_7	18472	0.4464401954582391	0	0	true
column_8	18472	0.6038687404797306	0	0	true
column_9	18472	0.50840350376020016	0	0	true
column_10	18472	0.48473197848568073	0	0	true
column_11	18472	0.59808912428989924	0	0	true
column_12	18472	0.62401150727514809	0	0	true
column_13	18472	0.37026217065952949	0	0	true
