feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.29471739071896175	0	0	true
column_3	18472	0.084427837816607482	1.4061931760400125e-30	1.6874318112480149e-30	true
column_4	18472	0.30506875194899574	0	0	true
column_5	18472	-0.33198091399632962	0	0	true
column_6	18472	0.30256250875380897	0	0	true
column_7	18472	0.0069815326078319249	0.34271238832321471	0.34271238832321477	false
column_8	18472	0.5024965995696864	0	0	true
column_9	18472	0.24185386484388285	4.4059660896643035e-244	6.6089491344964553e-244	true
column_10	18472	0.041709127494799082	1.4209582845060519e-08	1.5501363103702384e-08	true
column_11	18472	0.09767505130656981	2.1329359976147187e-40	2.8439146634862917e-40	true
column_12	18472	0.48030938345868984	0	0	true
column_13	18472	0.52086678671418285	0	0	true
