feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.42670396127186921	0	0	true
column_3	18472	0.39508000642419644	0	0	true
column_4	18472	0.21893897882706329	2.6122180456671494e-199	3.9183270685007243e-199	true
column_5	18472	0.16605728579778117	2.504686476554157e-114	3.339581968738876e-114	true
column_6	18472	0.45667015236333625	0	0	true
column_7	18472	0.50125667607268232	0	0	true
column_8	18472	0.31570670865645206	0	0	true
column_9	18472	0.15626079440138615	2.6744369812467021e-101	2.9175676159054929e-101	true
column_10	18472	0.14072167073170647	2.5109001412934249e-82	2.5109001412934249e-82	true
column_11	18472	0.43508068820339568	0	0	true
column_12	18472	0.3208203147400151	0	0	true
column_13	18472	0.1563685846703583	1.9426500503683542e-101	2.331180060442025e-101	true
