feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	-0.071509299666760368	2.229347964773753e-22	2.9724639530316705e-22	true
column_3	18472	0.31056804477495703	0	0	true
column_4	18472	0.30739668177113949	0	0	true
column_5	18472	-0.075184002580804335	1.4227919460358103e-24	2.1341879190537154e-24	true
column_6	18472	0.035533573147391785	1.3610294968585109e-06	1.3610294968585109e-06	true
column_7	18472	0.04644798476351189	2.6875413989577515e-10	3.2250496787493018e-10	true
column_8	18472	0.36404196644961695	0	0	true
column_9	18472	0.14839341347617985	1.9546584679335138e-91	3.3508430878860235e-91	true
column_10	18472	-0.036351045231074429	7.7391693096284058e-07	8.4427301559582601e-07	true
column_11	18472	0.39805449395023002	0	0	true
column_12	18472	0.31108766738906035	0	0	true
column_13	18472	0.35153889926163462	0	0	true
