feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.32267686034528148	0	0	true
column_3	18472	0.1268612096464018	3.9037034414227578e-67	4.2585855724611901e-67	true
column_4	18472	0.50621185613641473	0	0	true
column_5	18472	-0.32175264191450648	0	0	true
column_6	18472	0.26075765781420024	8.5412101884877373e-285	1.4642074608836121e-284	true
column_7	18472	-0.1274414585147057	9.726731301685459e-68	1.167207756202255e-67	true
column_8	18472	0.4906959830692933	0	0	true
column_9	18472	0.23224822887177865	1.0341303705463675e-224	1.5511955558195513e-224	true
column_10	18472	0.054561766385122987	1.1658199908541747e-13	1.1658199908541747e-13	true
column_11	18472	0.19480521390090544	2.0540890225546976e-157	2.7387853634062639e-157	true
column_12	18472	0.28474565230242393	0	0	true
column_13	18472	0.57756736118969121	0	0	true
