feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.79912051500791736	0	0	true
column_3	18472	0.64368148405573966	0	0	true
column_4	18472	0.70362885025761601	0	0	true
column_5	18472	0.56683019961172565	0	0	true
column_6	18472	0.70516386725121916	0	0	true
column_7	18472	0.67984097477960914	0	0	true
column_8	18472	0.69089449535875935	0	0	true
column_9	18472	0.53765047553975431	0	0	true
column_10	18472	0.47223501082625674	0	0	true
column_11	18472	0.7967999653939789	0	0	true
column_12	18472	0.75026054606218151	0	0	true
column_13	18472	0.74402451393753544	0	0	true
