feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.63352148807611619	0	0	true
column_3	18472	0.46335411548999594	0	0	true
column_4	18472	0.71988696271912445	0	0	true
column_5	18472	0.59073848228501524	0	0	true
column_6	18472	0.7170871405609367	0	0	true
column_7	18472	0.66793598989388692	0	0	true
column_8	18472	0.76176565976817578	0	0	true
column_9	18472	0.69947719103184203	0	0	true
column_10	18472	0.40629917687782818	0	0	true
column_11	18472	0.78924396616819026	0	0	true
column_12	18472	0.72492581338560846	0	0	true
column_13	18472	0.80519635318537353	0	0	true
