feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.74376173165640291	0	0	true
column_3	18472	0.54430645758256813	0	0	true
column_4	18472	0.67827338942495408	0	0	true
column_5	18472	0.50922811346393171	0	0	true
column_6	18472	0.750984110976741	0	0	true
column_7	18472	0.49996331671268185	0	0	true
column_8	18472	0.58765752387874381	0	0	true
column_9	18472	0.69314928724705871	0	0	true
column_10	18472	0.45817978831209771	0	0	true
column_11	18472	0.75220963786482287	0	0	true
column_12	18472	0.79643400779230156	0	0	true
column_13	18472	0.69410422443429676	0	0	true
