feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.0025447068810876055	0.72946845990294717	0.72946845990294717	false
column_3	18472	0.31341668876142104	0	0	true
column_4	18472	0.4548336440554982	0	0	true
column_5	18472	-0.28083647438652976	0	0	true
column_6	18472	0.079964525461683533	1.3617496773919209e-27	1.8156662365225611e-27	true
column_7	18472	0.061243446632327704	8.0189200949961708e-17	9.6227041139954055e-17	true
column_8	18472	0.54815996765287989	0	0	true
column_9	18472	0.24352932972464642	1.4970368820776467e-247	2.2455553231164701e-247	true
column_10	18472	-0.055514455351171249	4.3399687591008067e-14	4.7345113735645167e-14	true
column_11	18472	0.48457626772863327	0	0	true
column_12	18472	0.46682233597024042	0	0	true
column_13	18472	0.67533547083741963	0	0	true
