feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.36701982802375932	0	0	true
column_3	18472	0.27700081791061831	1.3833838083554903e-322	5.5335352334219613e-322	true
column_4	18472	0.18004257770080276	2.2405167046419249e-134	3.8408857793861565e-134	true
column_5	18472	0.15382190685851169	3.4823360181107871e-98	4.643114690814383e-98	true
column_6	18472	0.28852626160069483	0	0	true
column_7	18472	0.18741667380700258	1.2172847450738835e-145	2.4345694901477674e-145	true
column_8	18472	0.045690934906006307	5.2062409471580457e-10	5.2062409471580457e-10	true
column_9	18472	0.17231098729090261	4.422910302455297e-123	6.6343654536829461e-123	true
column_10	18472	0.20069141008995423	3.8269339852610292e-167	9.1846415646264697e-167	true
column_11	18472	0.25824090382439852	3.5705820624227716e-279	1.0711746187268316e-278	true
column_12	18472	0.12887762251658358	3.0343722421181916e-69	3.64124669054183e-69	true
column_13	18472	0.060985522678371845	1.0784844064436708e-16	1.1765284433930955e-16	true
