feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.27709705678775709	0	0	true
column_3	18472	-0.011617134895438976	0.11437014662239096	0.11437014662239096	false
column_4	18472	0.4681289827393646	0	0	true
column_5	18472	-0.34291234955420258	0	0	true
column_6	18472	0.27163385103330151	8.283409167999629e-310	1.4200130002285099e-309	true
column_7	18472	-0.020742926899458853	0.0048125554630574306	0.0052500605051535604	true
column_8	18472	0.31706013187208737	0	0	true
column_9	18472	0.25764625708222649	7.4439577686853356e-278	9.9252770249137817e-278	true
column_10	18472	0.066631254863192518	1.2411168577202402e-19	1.4893402292642882e-19	true
column_11	18472	0.25836494770958607	1.8929683843916693e-279	2.839452576587504e-279	true
column_12	18472	0.48955404346321663	0	0	true
column_13	18472	0.49267324736694645	0	0	true
