feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.19070953188031087	7.9235072003007582e-151	1.1885260800451137e-150	true
column_3	18472	0.35034387439747394	0	0	true
column_4	18472	0.47584282916371851	0	0	true
column_5	18472	-0.11790325642505921	3.5545668538879773e-58	3.8777092951505207e-58	true
column_6	18472	0.34126750932493166	0	0	true
column_7	18472	0.18693393972571848	6.8802746166901154e-145	9.1736994889201534e-145	true
column_8	18472	0.52103259401854829	0	0	true
column_9	18472	0.14263208048476189	1.5081568129581816e-84	1.8097881755498179e-84	true
column_10	18472	0.078669752272878327	9.3339790526416868e-27	9.3339790526416883e-27	true
column_11	18472	0.50065824413212678	0	0	true
column_12	18472	0.46230377772552494	0	0	true
column_13	18472	0.30730950867154222	0	0	true
