feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.33292904584310967	0	0	true
column_3	18472	0.26554009207281787	1.195691990218393e-295	2.0497576975172451e-295	true
column_4	18472	0.38822204490571055	0	0	true
column_5	18472	-0.2058824767521619	5.5210201749396729e-176	7.3613602332528977e-176	true
column_6	18472	0.36525757570044409	0	0	true
column_7	18472	0.17243600045595603	2.932566673110732e-123	3.5190800077328784e-123	true
column_8	18472	0.32888097182333709	0	0	true
column_9	18472	0.25219702326186871	6.2862455551163601e-266	9.4293683326745408e-266	true
column_10	18472	0.08370287974020009	4.4062646686784657e-30	4.4062646686784657e-30	true
column_11	18472	0.42768125666357104	0	0	true
column_12	18472	0.14828509733176923	2.6495416797679576e-91	2.8904091052014084e-91	true
column_13	18472	0.51173661238281642	0	0	true
