feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.80338616400891827	0	0	true
column_3	18472	0.67272752081408072	0	0	true
column_4	18472	0.85311175631575242	0	0	true
column_5	18472	0.59016210266943792	0	0	true
column_6	18472	0.72907430439820176	0	0	true
column_7	18472	0.64729810374155461	0	0	true
column_8	18472	0.7421183906780684	0	0	true
column_9	18472	0.66620252908812294	0	0	true
column_10	18472	0.42695417339190983	0	0	true
column_11	18472	0.80572366630338721	0	0	true
column_12	18472	0.64083922191271869	0	0	true
column_13	18472	0.49968638758551942	0	0	true
