feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.74919200797245533	0	0	true
column_3	18472	0.77205877765679154	0	0	true
column_4	18472	0.67466935841776754	0	0	true
column_5	18472	0.59927337854669405	0	0	true
column_6	18472	0.66921831891629491	0	0	true
column_7	18472	0.65666408278192268	0	0	true
column_8	18472	0.76147973999200125	0	0	true
column_9	18472	0.72661992346606086	0	0	true
column_10	18472	0.38123027284731287	0	0	true
column_11	18472	0.55496751248607623	0	0	true
column_12	18472	0.8145505100399103	0	0	true
column_13	18472	0.75278583002740707	0	0	true
