feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.097462018505851331	3.1495289497284188e-40	3.1495289497284188e-40	true
column_3	18472	0.15220995451817645	3.7357681371777909e-96	4.9810241829037217e-96	true
column_4	18472	0.51395752720647103	0	0	true
column_5	18472	-0.30575903563074536	0	0	true
column_6	18472	0.11780397444369455	4.4292303608830998e-58	5.3150764330597194e-58	true
column_7	18472	0.19554798721920444	1.2648441583664585e-158	1.8972662375496878e-158	true
column_8	18472	0.47660425885466123	0	0	true
column_9	18472	0.25313080603248039	5.9595563697004705e-268	1.0216382348057951e-267	true
column_10	18472	-0.11467901771665401	4.0889144223450917e-55	4.4606339152855545e-55	true
column_11	18472	0.47886747362226512	0	0	true
column_12	18472	0.46595846540894936	0	0	true
column_13	18472	0.57282589174485232	0	0	true
