feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.39114489097073718	0	0	true
column_3	18472	0.27726983634781227	2.9643938750474793e-323	1.7786363250284876e-322	true
column_4	18472	0.24507884800416257	8.7741603927979125e-251	2.6322481178393738e-250	true
column_5	18472	-0.10464584554803005	3.8400850639025603e-46	5.1201134185367474e-46	true
column_6	18472	0.26802937425960949	2.1793019692181108e-301	8.7172078768724433e-301	true
column_7	18472	0.14079868729091352	2.0458613354339096e-82	3.5071908607438452e-82	true
column_8	18472	-0.080216033078512147	9.3354331599019045e-28	1.1202519791882286e-27	true
column_9	18472	0.13005511147940443	1.7158161989928398e-70	2.5737242984892597e-70	true
column_10	18472	0.24139126073039174	3.9542144081269582e-243	9.4901145795046998e-243	true
column_11	18472	0.23381914123898953	8.0646717044827099e-228	1.6129343408965417e-227	true
column_12	18472	0.0499836600831731	1.0670538437012936e-11	1.1640587385832294e-11	true
column_13	18472	0.041050294230572527	2.3887629103999105e-08	2.3887629103999105e-08	true
