feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.76998880777760048	0	0	true
column_3	18472	0.62852142896312191	0	0	true
column_4	18472	0.71951242323711495	0	0	true
column_5	18472	0.54719665423103692	0	0	true
column_6	18472	0.7236119207100522	0	0	true
column_7	18472	0.53414694369369808	0	0	true
column_8	18472	0.78314094085431929	0	0	true
column_9	18472	0.63371185217131432	0	0	true
column_10	18472	0.46555463522538948	0	0	true
column_11	18472	0.62866799535720386	0	0	true
column_12	18472	0.56198675475209681	0	0	true
column_13	18472	0.78194261123610043	0	0	true
