feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.41645954192656814	0	0	true
column_3	18472	0.25543400315502346	5.6062878059603239e-273	7.4750504079470975e-273	true
column_4	18472	0.36729526729940187	0	0	true
column_5	18472	-0.31261760087260393	0	0	true
column_6	18472	0.33419497888850302	0	0	true
column_7	18472	0.17681552894840191	1.3452361738718449e-129	1.614283408646214e-129	true
column_8	18472	0.29433656005572312	0	0	true
column_9	18472	0.16752103260869894	2.4021090374454599e-116	2.6204825863041378e-116	true
column_10	18472	0.093424957617801369	4.3209072388706465e-37	4.3209072388706465e-37	true
column_11	18472	0.45600110249319076	0	0	true
column_12	18472	0.28572202790574769	0	0	true
column_13	18472	0.5242398857751015	0	0	true
