endoderm	0	0.0920001	1.48105	0	0	1.11222	0.19088	0.97711	0.188054	0.595897	0.195113	0.577363	0.952676	0.906042	0.491875	0.402578	0	0.184772	0	0.571242
endostyle_csg	0	0	1.55196	0	0	1.02943	0	0.969622	0.515629	0.53303	0.510922	0.528413	0.926341	0.851618	0.480387	1.34689	0.510922	0	0	0.549185
epidermal_neural	0	0	1.04749	0.510477	0	1.1838	0.514263	0.994945	0	0.504724	0.509478	0.510477	1.0438	1.05727	1.03908	0.519079	1.02136	0	0	0.939126
epidermis	0.0629541	0.134282	0.988547	0.185661	0.0989572	1.0402	0.49579	1.06186	0.131576	0.0780237	0.0705025	0.276469	1.0607	1.05259	1.14378	0.0967659	0.0880612	0.114468	0.0639152	1.18219
mesodermal_notochord	0	0.262061	1.11369	0.284541	0	0.965164	0	0.969622	0	0.262061	0	0.537804	0.924616	0.915219	0.452925	0	0	0.253263	0.253263	0.550164
muscular_somites	0	0	1.50928	0.517341	0	0.97069	0.517341	0.986436	0	0	0.509006	0	0.902381	1.05148	0.470229	0.509006	0.517341	0	0	0.561079
neural	0	0.137885	1.18158	0.0765771	0.0675655	1.00671	0.0687163	0.979084	0.0677904	0.280881	0.135349	0.42587	0.951356	0.948095	0.617676	0	0.138273	0.221189	0.136241	0.578523
neural_like	0	0	0.964719	0	0	1.06469	0	0.969622	0	0	0	0	0.927451	0.829105	0.674942	0	0	0.527782	0	0.621218
putative_neuro_endo	0	0	1.25251	0	0	0.962026	0	0.969622	0	0	1.09277	1.24061	0.902381	0.795909	0.632397	0	0	0	0	0.670066
somite	0.387258	0	1.27177	0	0	0.983219	0	0.973178	0	0.253667	0.255223	0.647232	0.933205	1.00619	0.51227	0	0.257958	0.259681	0	0.54335
tailbud	0	0	1.18086	0	0	1.00514	0	0.969622	0	0	0	0.525854	1.0471	1.11123	0.579	0	0	0	0.794815	0.608417
tailbud_neural	0.508722	0	1.1067	0.508722	0.508722	1.07742	0	0.969622	0	0.532128	0	1.0344	1.06105	0.943233	0.667859	0	0	0	0	0.548679
