feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.47532663179651452	0	0	true
column_3	18472	0.46260397221983557	0	0	true
column_4	18472	0.36352482134019187	0	0	true
column_5	18472	0.25141463160145766	3.0692299457216181e-264	4.0923065942954908e-264	true
column_6	18472	0.50239503687421838	0	0	true
column_7	18472	0.54751238773105382	0	0	true
column_8	18472	0.36164664096681287	0	0	true
column_9	18472	0.099355148224298459	9.5713789372453897e-42	9.5713789372453897e-42	true
column_10	18472	0.22670019899644286	6.3842778225677246e-214	7.6611333870812701e-214	true
column_11	18472	0.48388175853068022	0	0	true
column_12	18472	0.35833182845767525	0	0	true
column_13	18472	0.12056130692317325	9.1689315402576718e-61	1.0002470771190186e-60	true
