feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.032083869518990157	1.2923165478259282e-05	1.2923165478259282e-05	true
column_3	18472	0.29081590229878601	0	0	true
column_4	18472	0.19735036795353272	1.392700660677244e-161	2.785401321354488e-161	true
column_5	18472	0.15016443689853964	1.3089777281149785e-93	1.9634665921724677e-93	true
column_6	18472	0.11052428660229924	2.6814251383132746e-51	3.5752335177510329e-51	true
column_7	18472	0.067864672835781112	2.6161885477125026e-20	2.8540238702318214e-20	true
column_8	18472	0.31958674230499784	0	0	true
column_9	18472	0.19004543566180099	8.9682169522200133e-150	1.5374086203805739e-149	true
column_10	18472	0.088249485797808835	2.9005848658200326e-33	3.4807018389840391e-33	true
column_11	18472	0.37796265006053165	0	0	true
column_12	18472	0.28495562125174417	0	0	true
column_13	18472	0.29256157359118606	0	0	true
