endoderm	1	1.00109	1.48105	1	1	1.11222	1.00906	0.97711	1.00624	1.05044	1.01329	1.03191	0.952676	0.906042	0.491875	1.03894	1	1.00295	1	0.571242
endostyle_csg	1	1	1.55196	1	1	1.02943	1	0.969622	1.01563	1.03303	1.01092	1.02841	0.926341	0.851618	0.480387	1.34689	1.01092	1	1	0.549185
epidermal_neural	1	1	1.04749	1.01048	1	1.1838	1.01426	0.994945	1	1.00472	1.00948	1.01048	1.0438	1.05727	1.03908	1.01908	1.02136	1	1	0.939126
epidermis	1.00413	1.00823	0.988547	1.01759	1.00652	1.0402	1.0336	1.06186	1.00553	1.00239	1.00328	1.01596	1.0607	1.05259	1.14378	1.00433	1.00403	1.00522	1.00509	1.18219
mesodermal_notochord	1	1.01206	1.11369	1.03454	1	0.965164	1	0.969622	1	1.01206	1	1.0378	0.924616	0.915219	0.452925	1	1	1.00326	1.00326	0.550164
muscular_somites	1	1	1.50928	1.01734	1	0.97069	1.01734	0.986436	1	1	1.00901	1	0.902381	1.05148	0.470229	1.00901	1.01734	1	1	0.561079
neural	1	1.00455	1.18158	1.00991	1.0009	1.00671	1.00205	0.979084	1.00112	1.01421	1.00202	1.02587	0.951356	0.948095	0.617676	1	1.00494	1.02119	1.00291	0.578523
neural_like	1	1	0.964719	1	1	1.06469	1	0.969622	1	1	1	1	0.927451	0.829105	0.674942	1	1	1.02778	1	0.621218
putative_neuro_endo	1	1	1.25251	1	1	0.962026	1	0.969622	1	1	1.09277	1.24061	0.902381	0.795909	0.632397	1	1	1	1	0.670066
somite	1.01226	1	1.27177	1	1	0.983219	1	0.973178	1	1.00367	1.00522	1.02223	0.933205	1.00619	0.51227	1	1.00796	1.00968	1	0.54335
tailbud	1	1	1.18086	1	1	1.00514	1	0.969622	1	1	1	1.02585	1.0471	1.11123	0.579	1	1	1	1.04482	0.608417
tailbud_neural	1.00872	1	1.1067	1.00872	1.00872	1.07742	1	0.969622	1	1.03213	1	1.0344	1.06105	0.943233	0.667859	1	1	1	1	0.548679
