feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.35405993684710502	0	0	true
column_3	18472	0.30300120653795282	0	0	true
column_4	18472	0.51462436505638154	0	0	true
column_5	18472	-0.15511246621096622	7.9452736716406336e-100	8.6675712781534182e-100	true
column_6	18472	0.18889839273635295	5.8017256196288068e-148	6.9620707435545685e-148	true
column_7	18472	0.26490227630738028	3.4534619566660555e-294	5.9202204971418093e-294	true
column_8	18472	0.49917162231072082	0	0	true
column_9	18472	0.19299152963312366	1.7691620645510159e-154	2.3588827527346879e-154	true
column_10	18472	0.087683247585300619	7.3774351839345351e-33	7.3774351839345351e-33	true
column_11	18472	0.4581551317076939	0	0	true
column_12	18472	0.46383752034690351	0	0	true
column_13	18472	0.22933568378469954	5.1922024821181589e-219	7.7883037231772383e-219	true
