group	percentage	alignment	informative_sites	total_sites
animals	0	1001705at2759.faa.mafft	0	454
animals	0	1003258at2759.faa.mafft	0	441
animals	0	100698at2759.faa.mafft	0	806
animals	0	1010730at2759.faa.mafft	0	578
animals	2.5209999999999999	1014314at2759.faa.mafft	9	357
animals	2.7303999999999999	1018517at2759.faa.mafft	8	293
animals	0	1019762at2759.faa.mafft	0	684
animals	0	1025450at2759.faa.mafft	0	417
animals	0	1030907at2759.faa.mafft	0	362
animals	0	1032689at2759.faa.mafft	0	312
animals	0	1038775at2759.faa.mafft	0	383
animals	0	1041560at2759.faa.mafft	0	457
animals	0	1049599at2759.faa.mafft	0	506
animals	0	1051021at2759.faa.mafft	0	503
animals	0	1053181at2759.faa.mafft	0	291
animals	0	1065019at2759.faa.mafft	0	411
animals	0	1076134at2759.faa.mafft	0	270
animals	0	1079130at2759.faa.mafft	0	417
animals	0	1079827at2759.faa.mafft	0	260
animals	0	1085752at2759.faa.mafft	0	457
animals	0	1087488at2759.faa.mafft	0	428
animals	0	1090038at2759.faa.mafft	0	289
animals	0	1094121at2759.faa.mafft	0	183
animals	0	1096688at2759.faa.mafft	0	483
animals	0	1106766at2759.faa.mafft	0	609
animals	0	1107630at2759.faa.mafft	0	339
animals	0	1108845at2759.faa.mafft	0	495
animals	0	1111142at2759.faa.mafft	0	531
animals	0	1112002at2759.faa.mafft	0	864
animals	0	1128607at2759.faa.mafft	0	337
animals	0	1129824at2759.faa.mafft	0	269
animals	0	1138059at2759.faa.mafft	0	285
animals	0	1157302at2759.faa.mafft	0	246
animals	0	1161199at2759.faa.mafft	0	309
animals	2.6905999999999999	1173229at2759.faa.mafft	12	446
animals	0	1178688at2759.faa.mafft	0	239
animals	0	1182451at2759.faa.mafft	0	329
animals	2.6086999999999998	1193442at2759.faa.mafft	12	460
animals	0	1194691at2759.faa.mafft	0	412
animals	0	1194797at2759.faa.mafft	0	853
animals	0	1197019at2759.faa.mafft	0	203
animals	0	1200489at2759.faa.mafft	0	210
animals	0	1217666at2759.faa.mafft	0	253
animals	0	1220881at2759.faa.mafft	0	332
animals	0	1222562at2759.faa.mafft	0	315
animals	0	1223488at2759.faa.mafft	0	197
animals	0	1228942at2759.faa.mafft	0	279
animals	0	1236198at2759.faa.mafft	0	147
animals	0	1247641at2759.faa.mafft	0	269
animals	0	1248958at2759.faa.mafft	0	986
animals	2.4390000000000001	1249159at2759.faa.mafft	5	205
animals	0	1251252at2759.faa.mafft	0	267
animals	0	1257440at2759.faa.mafft	0	185
animals	0	1258856at2759.faa.mafft	0	892
animals	0	1259741at2759.faa.mafft	0	393
animals	0	1260807at2759.faa.mafft	0	466
animals	0	1264469at2759.faa.mafft	0	290
animals	0	1266231at2759.faa.mafft	0	236
animals	0	1269244at2759.faa.mafft	0	255
animals	4.1237000000000004	1269649at2759.faa.mafft	12	291
animals	0	1275837at2759.faa.mafft	0	365
animals	0	1284731at2759.faa.mafft	0	270
animals	0	1287094at2759.faa.mafft	0	208
animals	0	1287401at2759.faa.mafft	0	279
animals	0	1291729at2759.faa.mafft	0	220
animals	0	1304061at2759.faa.mafft	0	197
animals	0	1309031at2759.faa.mafft	0	574
animals	0	1312453at2759.faa.mafft	0	1354
animals	0	1314980at2759.faa.mafft	0	843
animals	0	1322299at2759.faa.mafft	0	621
animals	0	1322642at2759.faa.mafft	0	299
animals	0	1323575at2759.faa.mafft	0	440
animals	0	1324510at2759.faa.mafft	0	458
animals	0	1338131at2759.faa.mafft	0	200
animals	0	1339553at2759.faa.mafft	0	465
animals	2.6455000000000002	1342242at2759.faa.mafft	10	378
animals	0	1346165at2759.faa.mafft	0	432
animals	3.0533999999999999	1346432at2759.faa.mafft	8	262
animals	0	1348942at2759.faa.mafft	0	352
animals	0	1355894at2759.faa.mafft	0	178
animals	0	1358374at2759.faa.mafft	0	434
animals	0	1364586at2759.faa.mafft	0	252
animals	0	1370285at2759.faa.mafft	0	693
animals	0	1370304at2759.faa.mafft	0	799
animals	0	1377237at2759.faa.mafft	0	281
animals	0	1379600at2759.faa.mafft	0	872
animals	0	1380409at2759.faa.mafft	0	211
animals	0	1382842at2759.faa.mafft	0	187
animals	0	1395649at2759.faa.mafft	0	180
animals	0	1398309at2759.faa.mafft	0	167
animals	0	1404162at2759.faa.mafft	0	580
animals	1.6667000000000001	1405073at2759.faa.mafft	3	180
animals	0	1405146at2759.faa.mafft	0	225
animals	0	1407446at2759.faa.mafft	0	171
animals	0	1421503at2759.faa.mafft	0	161
animals	0	1423847at2759.faa.mafft	0	382
animals	0	142542at2759.faa.mafft	0	1092
animals	0	1426075at2759.faa.mafft	0	141
animals	0	1428265at2759.faa.mafft	0	244
animals	2.8403999999999998	1428854at2759.faa.mafft	29	1021
animals	0	1430056at2759.faa.mafft	0	239
animals	0	1432328at2759.faa.mafft	0	323
animals	0	1434266at2759.faa.mafft	0	230
animals	0	1440961at2759.faa.mafft	0	267
animals	0	1441854at2759.faa.mafft	0	308
animals	0	1442062at2759.faa.mafft	0	521
animals	0	1445102at2759.faa.mafft	0	261
animals	0	1450538at2759.faa.mafft	0	312
animals	0	1454155at2759.faa.mafft	0	314
animals	0	1455730at2759.faa.mafft	0	551
animals	0	1459797at2759.faa.mafft	0	135
animals	0	1474000at2759.faa.mafft	0	405
animals	0	1488235at2759.faa.mafft	0	182
animals	0	1488436at2759.faa.mafft	0	138
animals	0	1490022at2759.faa.mafft	0	192
animals	2.6316000000000002	1504863at2759.faa.mafft	6	228
animals	0	1513531at2759.faa.mafft	0	289
animals	1.3071999999999999	1525971at2759.faa.mafft	2	153
animals	0	1526152at2759.faa.mafft	0	189
animals	0	1530008at2759.faa.mafft	0	244
animals	0	1538526at2759.faa.mafft	0	163
animals	0	1545004at2759.faa.mafft	0	98
animals	0	1552706at2759.faa.mafft	0	145
animals	0	1558822at2759.faa.mafft	0	91
animals	0.21360000000000001	156083at2759.faa.mafft	5	2341
animals	0	1563319at2759.faa.mafft	0	340
animals	0	1567796at2759.faa.mafft	0	199
animals	0	1575179at2759.faa.mafft	0	110
animals	0	1576404at2759.faa.mafft	0	230
