gene	strain	log2FoldChange	pvalue	padj
PA14_00010	98	0.11545412900110641	0.4333329603804915	0.6072287792973081
PA14_00020	98	0.19434369509695237	0.12703998079961745	0.2710062255125075
PA14_00030	98	0.037620853084050054	0.8422586874591238	0.9116453242633837
PA14_00050	98	0.2875542703235503	0.01620828448327119	0.06920284393297033
PA14_00060	98	0.2623729223412763	0.004382858941326774	0.029564006840338473
PA14_00070	98	0.012185634841582527	0.9308560616980274	0.9613732283494779
PA14_00080	98	-0.7660308825108277	0.01088369163171765	0.0540751533074599
PA14_00090	98	0.569827891907492	0.009577617222116466	0.04988235314610792
PA14_00100	98	0.6328197226895078	0.0034739059004077638	0.025150215636740927
PA14_00110	98	0.33263451856601023	0.012324100235507464	0.05825211368413422
PA14_00120	98	0.25513312045847947	0.010607451661011584	0.053019063705296327
PA14_00130	98	0.15110026485666594	0.2091714762374802	0.3819083219022665
PA14_00140	98	0.11381589527414615	0.3903606325775811	0.5677993411516593
PA14_00150	98	-0.03536234261984372	0.8544590385412678	0.9179664417876404
PA14_00160	98	0.14651188742844745	0.08520272791045273	0.2080274395735729
PA14_00170	98	0.341594973908224	0.020934803634223172	0.08188458763775346
PA14_00180	98	0.5476483732207438	0.002728116713556981	0.021284423302021533
PA14_00190	98	0.6032551505219175	0.0005263538389843853	0.006894309776758928
PA14_00200	98	0.3229575482643945	0.02640428036993497	0.0958525268806761
PA14_00210	98	0.8449586831121323	0.0041307946454652855	0.02849026176777714
PA14_00230	98	0.2663828903780967	0.3615845791472499	0.5392310458726133
PA14_00240	98	0.39729109188915324	0.11003001439464634	0.24520449610566333
PA14_00250	98	0.29451204861493885	0.35710407356794854	0.5347385767610493
PA14_00280	98	0.41419849338031156	0.397004501813708	0.5741477333750774
PA14_00290	98	0.2654885898768846	0.32964521705803745	0.508962752317791
PA14_00300	98	-1.6417892854489544	1.8519866646881163e-08	2.9981606338339837e-06
PA14_00310	98	-1.595147048145213	2.5300776535855842e-06	0.0001459929956940276
PA14_00320	98	-1.7153914867540712	1.4641787437705262e-05	0.0005577276940323286
PA14_00340	98	-1.24962816736209	0.001091112217426079	0.011604018253940125
PA14_00360	98	-0.17839488178712148	0.363670459650062	0.5416487193561363
PA14_00380	98	-0.009430300250379275	0.9396118971428998	0.9667201662568933
PA14_00400	98	0.16217664561143863	0.07909179077104843	0.19791625444983693
PA14_00410	98	0.2676206352993571	0.09772738931580036	0.22646331011231988
PA14_00420	98	0.1273203334390427	0.1095968354739712	0.2445368901769924
PA14_00430	98	0.04344351032341631	0.7528852126045221	0.8506463550298095
PA14_00440	98	-0.1838882960294157	0.5918536988311883	0.7360911986317041
PA14_00450	98	-0.1948347889650872	0.6485425064682927	0.7775572367202653
PA14_00460	98	0.1991190456729619	0.327081960526341	0.5061693218129355
PA14_00470	98	-1.1860864337173496	0.00011877912998792272	0.0023707012656493617
PA14_00480	98	-0.8063537480782106	0.00797960839990716	0.044290626433008504
PA14_00490	98	0.8015492052462285	5.094663098376292e-05	0.0012853548284561486
PA14_00530	98	0.02011816643410036	0.8514348680191567	0.9163014100379262
PA14_00550	98	0.12457605492820001	0.5016985217914482	0.6672521645368691
PA14_00560	98	0.0962092138626911	0.9162705680163062	0.951536862152358
PA14_00570	98	2.0056624458899783	1.6961341498118803e-07	1.659799545549224e-05
PA14_00580	98	1.7823848539784217	5.46361018084943e-06	0.0002576357353756856
PA14_00590	98	1.6878768006446538	4.0896920682962014e-05	0.0011404174820110172
PA14_00600	98	0.507462663531375	0.016247382550260363	0.06921765022143084
PA14_00620	98	-0.3895201461373201	0.1812836435114169	0.3470831387597036
PA14_00630	98	-0.59016938156838	0.0009505045627788792	0.01053144599215838
PA14_00640	98	-1.8951818207598006	0.0012320722642330628	0.012531443553141867
PA14_00650	98	-3.198784381566977	1.3780784597588427e-07	1.3847312523231958e-05
PA14_00660	98	0.5896830782846285	0.0034333056868240154	0.02488719594876911
PA14_00670	98	0.5384288445598777	0.012424222946760915	0.05852204912596068
PA14_00680	98	-0.0035448762371466103	0.9797530668889157	0.9884024361828978
PA14_00690	98	-0.33421794767481394	0.06658414813099962	0.17409260444480298
PA14_00700	98	-0.41658956125170654	0.014676148100161022	0.0651925237254104
PA14_00710	98	-1.7917483390314732	6.215711313972369e-05	0.001490747552997159
PA14_00720	98	-0.9053966490601244	0.0009775009493848143	0.01074882176040509
PA14_00730	98	-0.29924266256599985	0.057223335865134686	0.1571619233845452
PA14_00740	98	-0.4655462540873163	0.023285527114533935	0.08817937103541505
PA14_00750	98	0.26531633392549203	0.016237575662065434	0.06921765022143084
PA14_00760	98	0.4238321550847193	0.007329046936750935	0.041794212864368345
PA14_00770	98	0.3843448197652375	0.03778736048413877	0.12050776770504502
PA14_00780	98	0.267526299243082	0.07977018215602995	0.19910946762810408
PA14_00790	98	-0.30219824498045433	0.41927922930931855	0.5939991483440163
PA14_00800	98	-0.32964554122628975	0.18937733055893144	0.35658139188389737
PA14_00810	98	-0.14051352288894137	0.354263010814653	0.5315769379577234
PA14_00820	98	0.7039648675318588	0.0038576923734169348	0.027054911133903604
PA14_00830	98	0.013035085804400381	0.9283840615877998	0.9597257130997084
PA14_00850	98	0.1501543456887866	0.45262302752324063	0.6240565423244492
PA14_00860	98	0.3630724987520324	0.16787911257932334	0.3292057429718359
PA14_00875	98	0.36503713872309795	0.05967916593315585	0.16094871775031575
PA14_00890	98	0.42447136612481806	0.012188343466427325	0.057845004659884736
PA14_00900	98	0.4953397035762741	0.008053350054087288	0.04461494687758623
PA14_00910	98	0.45995660725534293	0.011056104743586564	0.05460591393696821
PA14_00925	98	0.5371836791053681	0.0067558459846266536	0.039134561044465936
PA14_00940	98	0.5316336467235097	0.010919665867704787	0.05416154270381574
PA14_00960	98	0.4085973627749464	0.06514177343156131	0.17147527351361305
PA14_00990	98	-0.12723067151144996	0.4772150176221466	0.6464234969158945
PA14_01010	98	0.7879423348702232	0.0006180494266293313	0.007713045092924503
PA14_01020	98	0.791568459395636	0.0017879768249969535	0.016155548738112008
PA14_01030	98	0.8043620558803184	0.0032580394311990564	0.024126879040696447
PA14_01040	98	0.6714635169526169	0.00250715366843912	0.01998863417190587
PA14_01060	98	0.7307152375418369	0.00030374492590468007	0.0046979130592116735
PA14_01070	98	0.7636814345225709	0.0041604234876386715	0.028618565634707757
PA14_01080	98	0.65501026165491	0.011097577687019923	0.054709056651836036
PA14_01100	98	0.5960376600261448	0.02788403445528821	0.09878915064159251
PA14_01110	98	0.35555126799083503	0.13485756431973475	0.28230958507737575
PA14_01120	98	0.43109279519294574	0.011439564816847759	0.05560449020232589
PA14_01130	98	0.4434126621432757	0.02677611331663962	0.09656632946124735
PA14_01140	98	0.5623554583894048	0.08110793223441294	0.2013857840066023
PA14_01150	98	0.5482140127192121	0.060753569473293766	0.16294865592293117
PA14_01160	98	0.10633641691512352	0.315669758261566	0.4956151269257561
PA14_01170	98	0.4681250889637454	0.035225497508404806	0.11526906203199506
PA14_01180	98	0.4923585600580811	0.025018714376409616	0.09275385966012421
PA14_01190	98	0.40749063584323153	0.029617618135753712	0.10268380636238705
PA14_01200	98	0.4228690341549868	0.01190252406883892	0.05718706535300349
PA14_01220	98	0.3769355629575948	0.009446046308168712	0.04948406462256301
PA14_01230	98	0.3622074132180515	0.021016588453749405	0.08209069195577015
PA14_01240	98	-0.3562619594920946	0.007423809636292459	0.04216955415235132
PA14_01250	98	-0.8512117717815304	0.0006825272779151738	0.008183317043209933
PA14_01290	98	-0.8874288236521117	0.0018378455670226366	0.01642406093699942
PA14_01300	98	-1.0756739373461137	0.0022827750353008446	0.01893883060325351
PA14_01310	98	-1.2002467464615165	0.0006119478503526054	0.007669746391085988
PA14_01320	98	-0.9065394022109619	7.544463136938854e-05	0.0017330415196382938
PA14_01330	98	-0.7364401743157387	0.0029329667237088133	0.022432191687368718
PA14_01340	98	-1.1497633083924637	0.002446814664850297	0.019669014988617284
PA14_01350	98	-1.17013034074402	0.006034549652978122	0.036257067399542785
PA14_01360	98	-1.1546625048255006	0.009819300623542368	0.05055378448233651
PA14_01380	98	-0.7237914326844539	0.015804886313668318	0.06844829412093358
PA14_01390	98	-0.03390148933213233	0.8293690172562743	0.9031320314965557
PA14_01400	98	0.212372802173439	0.044326455825931636	0.13440925314959914
PA14_01410	98	-0.15816856890916675	0.2391313688863407	0.4180500464965771
PA14_01430	98	-0.350059886784285	0.031660618211755163	0.1072156205334742
PA14_01440	98	-0.1284292849662414	0.514706816025598	0.6783608336589366
PA14_01460	98	-0.17539765221985526	0.4842792897196891	0.6530191114851214
PA14_01470	98	0.04634835186138986	0.7565964075624529	0.8532205617790201
PA14_01480	98	0.07827048509956747	0.6296179889680454	0.7617632633808945
PA14_01490	98	-2.014665841357054	0.049682983216671125	0.14405593342624842
PA14_01500	98	-1.4231940914975958	0.025151032069791284	0.09300775057280684
PA14_01510	98	-0.13566884784689126	0.6434479239110468	0.7727208944062601
PA14_01520	98	-0.154974472594132	0.6215746536727627	0.7564421023927472
PA14_01540	98	0.7680135273035038	0.08138170455043069	0.2017628019168747
