component	explained_variance_ratio
PC1	0.5597115024111174
PC2	0.1412924435882841
PC3	0.06896870091401616
PC4	0.028628289134116594
PC5	0.025578569261045438
PC6	0.022794855368374445
PC7	0.016884772030342172
PC8	0.013545551949899603
PC9	0.012404603909449882
PC10	0.010415576088763716
PC11	0.008046210122445822
PC12	0.006763925071698665
PC13	0.005758356074033842
PC14	0.004423677082902193
PC15	0.004075469278994463
PC16	0.00399739506735884
PC17	0.003641062535515962
PC18	0.0030218918045638054
PC19	0.002797115450108243
PC20	0.0027216252551672876
PC21	0.0022996396703104586
PC22	0.002233671330881359
PC23	0.0018567917013142586
PC24	0.001777438884943703
PC25	0.0016625426776464985
PC26	0.001532883894350547
PC27	0.0015061115272105023
PC28	0.001452870144839966
PC29	0.001395016990629545
PC30	0.0013333587293391411
PC31	0.001237411480422082
PC32	0.0011639263440214559
PC33	0.0011096074678635785
PC34	0.001056776660060333
PC35	0.0009720865615371212
PC36	0.0008874227865463364
PC37	0.0008529121622495254
PC38	0.0008375262675699796
PC39	0.0008042004202791999
PC40	0.0007583939552032208
PC41	0.0007294833984279978
PC42	0.0007201898124391657
PC43	0.0006722522013646561
PC44	0.0006314391224988977
PC45	0.00062992807362614
PC46	0.0005984567837539012
PC47	0.0005555322026818623
PC48	0.000527626661874781
PC49	0.0005227995014469257
PC50	0.0005126963448500521
PC51	0.0005069933792344716
PC52	0.0004957665602279155
PC53	0.00048437449551532065
PC54	0.00046524789830995557
PC55	0.00045753159677990274
PC56	0.00043142615389430686
PC57	0.00042142880901145614
PC58	0.0004133307971529276
PC59	0.00039913487444800494
PC60	0.000395844836380003
PC61	0.00037444315208876435
PC62	0.00036987885863477144
PC63	0.0003624472020539931
PC64	0.0003570847746068467
PC65	0.0003453194997353403
PC66	0.0003401325964426613
PC67	0.00033519654697319857
PC68	0.00032560534705375674
PC69	0.00031648261266406313
PC70	0.0003089477048908521
PC71	0.00029371536211729584
PC72	0.00028939797823126666
PC73	0.0002830026958395033
PC74	0.0002766902497598966
PC75	0.00026869831661500775
PC76	0.0002620148177187854
PC77	0.00025556780131556056
PC78	0.00025339961014465585
PC79	0.00024517204586780244
PC80	0.00024179559504678536
PC81	0.0002399724837801717
PC82	0.00023294186949794762
PC83	0.0002255594446798865
PC84	0.0002237835703500917
PC85	0.0002182495866217068
PC86	0.00021103499645246926
PC87	0.000205813912627673
PC88	0.00020513291565102968
PC89	0.00020400861561500755
PC90	0.00019718203976146586
PC91	0.00019205509346688362
PC92	0.0001900374440595032
PC93	0.0001827660115860999
PC94	0.00017856992930382126
PC95	0.00017524155388690466
PC96	0.00017197166265904836
PC97	0.00017067836671975952
PC98	0.000167123403861177
PC99	0.00016273324734541938
PC100	0.00015721202015008575
