metric	value
sei_rows_with_specific_ID	19905
sei_rows_without_specific_ID	2002
cistrome_sample_records_in_API_response	100000
target_rows_missing_Cistrome_metadata	0
target_rows_with_blank_external_id	0
target_rows_with_exact_external_id_token_match	109
distinct_matching_external_ids	109

Cistrome_external_id_type	target_rows
ENCODE	1662
GEO	18243

matched_external_id_type	matched_target_rows
ENCODE	7
GEO	102

matched_Borzoi_species	matched_target_rows
human	109

matched_examples	Cistrome_ID	external_id_type	external_id	Borzoi_species
LoVo_Colon | FOXD2 | ID:38635	38635	GEO	GSM1208745	human
LoVo_Colon | ATF5 | ID:38641	38641	GEO	GSM1208713	human
LoVo_Colon | ETV7 | ID:38647	38647	GEO	GSM1208739	human
LoVo_Colon | NFYA | ID:38650	38650	GEO	GSM1208777	human
LoVo_Colon | MED12 | ID:38653	38653	GEO	GSM1208646	human
LoVo_Colon | EHF | ID:38657	38657	GEO	GSM1208609	human
LoVo_Colon | SOX2 | ID:38658	38658	GEO	GSM1208794	human
LoVo_Colon | CAMTA2 | ID:38661	38661	GEO	GSM1208594	human
LoVo_Colon | H3K4me3 | ID:38662	38662	GEO	GSM1208811	human
LoVo_Colon | MYC | ID:38663	38663	GEO	GSM1208654	human
LoVo_Colon | ZBTB7B | ID:38666	38666	GEO	GSM1208702	human
LoVo_Colon | GLIS1 | ID:38673	38673	GEO	GSM1208752	human
LoVo_Colon | HOXA13 | ID:38678	38678	GEO	GSM1208756	human
LoVo_Colon | LHX2 | ID:38679	38679	GEO	GSM1208644	human
LoVo_Colon | EGR1 | ID:38684	38684	GEO	GSM1208608	human
LoVo_Colon | RAD21 | ID:38691	38691	GEO	GSM1208668	human
LoVo_Colon | RBCK1 | ID:38695	38695	GEO	GSM1208789	human
LoVo_Colon | H3 | ID:38697	38697	GEO	GSM1208809	human
LoVo_Colon | E2F7 | ID:38698	38698	GEO	GSM1208730	human
LoVo_Colon | HINFP | ID:38704	38704	GEO	GSM1208631	human
LoVo_Colon | VEZF1 | ID:38706	38706	GEO	GSM1208807	human
LoVo_Colon | HOXA2 | ID:38708	38708	GEO	GSM1208757	human
LoVo_Colon | ETS2 | ID:38712	38712	GEO	GSM1208738	human
LoVo_Colon | HNF4A | ID:38713	38713	GEO	GSM1208632	human
LoVo_Colon | YY1 | ID:38716	38716	GEO	GSM1208699	human
LoVo_Colon | GLI2 | ID:38718	38718	GEO	GSM1208622	human
LoVo_Colon | DLX1 | ID:38719	38719	GEO	GSM1208723	human
LoVo_Colon | CREB3L4 | ID:38721	38721	GEO	GSM1208721	human
LoVo_Colon | GMEB2 | ID:38724	38724	GEO	GSM1208626	human
LoVo_Colon | HBP1 | ID:38726	38726	GEO	GSM1208627	human
LoVo_Colon | TFDP1 | ID:38731	38731	GEO	GSM1208691	human
LoVo_Colon | NKX2-2 | ID:38736	38736	GEO	GSM1208780	human
LoVo_Colon | MED1 | ID:38737	38737	GEO	GSM1208647	human
LoVo_Colon | GATA4 | ID:38741	38741	GEO	GSM1208620	human
LoVo_Colon | JUN | ID:38743	38743	GEO	GSM1208639	human
LoVo_Colon | RFX5 | ID:38746	38746	GEO	GSM1208672	human
LoVo_Colon | ZNF407 | ID:38750	38750	GEO	GSM1208705	human
LoVo_Colon | JUND | ID:38758	38758	GEO	GSM1208763	human
LoVo_Colon | ETV5 | ID:38759	38759	GEO	GSM1208736	human
LoVo_Colon | RFX2 | ID:38761	38761	GEO	GSM1208671	human

external_id_types_with_no_matches	rows
ENCODE	1655
GEO	18141
